m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.67,0.347412731,-0.004356718,0.000271797,0.000258859,0.000259482,0.00029014,0.000273114
0.68,0.319200899,-0.016890637,0.000268714,0.000256111,0.000256705,0.000284762,0.000269267
0.69,0.291806666,-0.029061389,0.000265703,0.000253405,0.000253972,0.000279605,0.000265526
0.7,0.265195076,-0.040884456,0.000262763,0.000250742,0.000251284,0.000274657,0.000261888
0.71,0.239333132,-0.052374453,0.000259893,0.000248121,0.00024864,0.000269909,0.000258351
0.72,0.214189669,-0.063545192,0.000257091,0.000245541,0.000246039,0.000265352,0.000254912
0.73,0.189735226,-0.074409724,0.000254356,0.000243003,0.000243482,0.000260978,0.000251567
0.74,0.165941935,-0.084980398,0.000251687,0.000240506,0.000240968,0.000256777,0.000248316
0.75,0.14278342,-0.095268901,0.000249082,0.00023805,0.000238497,0.000252742,0.000245155
0.76,0.120234693,-0.105286299,0.000246541,0.000235665,0.000236069,0.000248866,0.000242082
0.77,0.098272074,-0.115043079,0.000244062,0.000233319,0.000233682,0.000245142,0.000239095
0.78,0.076873106,-0.124549178,0.000241644,0.000231012,0.000231337,0.000241563,0.000236191
0.79,0.056016482,-0.133814019,0.000239287,0.000228743,0.000229034,0.000238122,0.000233368
0.8,0.035681973,-0.142846538,0.000236989,0.000226513,0.000226771,0.000234814,0.000230625
