m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.43,0.293436722,-0.245451355,0.000419539,0.000403905,0.000412833,0.000554456,0.000489023
0.44,0.347150639,-0.21411651,0.000402384,0.000389909,0.000396906,0.000537898,0.000472891
0.45,0.40281778,-0.181642227,0.000386282,0.000376628,0.000381945,0.000522079,0.000457594
0.46,0.460546655,-0.147965204,0.000371192,0.00036404,0.000367906,0.000506964,0.000443096
0.47,0.520453967,-0.113017361,0.000357075,0.000352121,0.000354748,0.00049252,0.000429357
0.48,0.582665395,-0.076725382,0.000343889,0.000340849,0.00034243,0.000478718,0.000416342
0.49,0.647316476,-0.039010199,0.000331594,0.000330202,0.000330912,0.000465526,0.000404017
0.5,0.357205081,3.51E-05,0.000392371,0.000320179,0.000320179,0.000452917,0.000392371
0.51,0.675034838,-0.011185378,0.000316845,0.000316837,0.000316841,0.000440863,0.000384843
0.52,0.637329023,-0.021957342,0.000313546,0.000313531,0.000313539,0.000429337,0.000377542
0.53,0.601046193,-0.032322694,0.000310284,0.000310261,0.000310273,0.000418316,0.000370461
0.54,0.566107299,-0.042304015,0.000307058,0.000307027,0.000307044,0.000407775,0.000363593
0.55,0.532439045,-0.051922245,0.000303867,0.000303829,0.00030385,0.000397692,0.000356932
0.56,0.499973369,-0.061196827,0.000300713,0.000300667,0.000300693,0.000388044,0.000350472
0.57,0.468646987,-0.070145837,0.000297594,0.000297542,0.000297572,0.000378812,0.000344207
0.58,0.43840098,-0.078786105,0.000294512,0.000294453,0.000294487,0.000369976,0.00033813
0.59,0.409180425,-0.087133319,0.000291465,0.000291399,0.000291438,0.000361517,0.000332237
0.6,0.380934062,-0.09520212,0.000288454,0.000288382,0.000288425,0.000353417,0.000326522
0.61,0.353613991,-0.103006188,0.00028548,0.000285401,0.000285449,0.000345659,0.000320979
0.62,0.327175406,-0.110558318,0.000282541,0.000282456,0.000282509,0.000338228,0.000315603
0.63,0.301576348,-0.117870492,0.000279638,0.000279547,0.000279605,0.000331107,0.00031039
0.64,0.276777479,-0.124953941,0.000276771,0.000276675,0.000276737,0.000324282,0.000305334
0.65,0.252741887,-0.131819204,0.00027394,0.000273838,0.000273905,0.000317739,0.00030043
0.66,0.229434896,-0.138476177,0.000271146,0.000271038,0.000271109,0.000311466,0.000295674
0.67,0.206823906,-0.144934166,0.000268387,0.000268277,0.000268349,0.000305449,0.000291062
0.68,0.184878235,-0.151201924,0.000265664,0.000265559,0.000265626,0.000299676,0.000286589
0.69,0.163568984,-0.157287695,0.000262977,0.000262877,0.000262939,0.000294137,0.000282251
0.7,0.142868907,-0.163199247,0.000260326,0.000260231,0.000260288,0.000288821,0.000278043
0.71,0.122752301,-0.168943908,0.000257711,0.00025762,0.000257673,0.000283718,0.000273963
0.72,0.103194891,-0.174528593,0.000255132,0.000255046,0.000255094,0.000278817,0.000270006
0.73,0.084173741,-0.179959831,0.00025259,0.000252507,0.000252552,0.00027411,0.000266168
0.74,0.065667162,-0.185243795,0.000250083,0.000250005,0.000250045,0.000269588,0.000262446
0.75,0.047654626,-0.190386318,0.000247612,0.000247538,0.000247575,0.000265244,0.000258837
0.76,0.030116699,-0.195392917,0.000245177,0.000245107,0.000245141,0.000261068,0.000255338
0.77,0.013034965,-0.200268811,0.000242779,0.000242713,0.000242743,0.000257055,0.000251944
0.78,-0.002947436,-0.160047944,0.000248654,0.000240354,0.000240381,0.000253197,0.000248654
0.79,-0.015805537,-0.165762644,0.000245463,0.000238031,0.000238056,0.000249487,0.000245463
0.8,-0.028663635,-0.171477343,0.000242371,0.000235744,0.000235766,0.00024592,0.000242371
