mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,S,I,D,Un,Uphi,Un-Uphi
0.1,3.5423630215e-08,0.11111955471,0.434224499,6.569336337e-08,2.5170970628e-07,0.12502015365,0.84677243182,5.0307518536e-31,0.0021145404409,1.000000175356358,0.17779633807794518,0.822203837278413
0.11,3.2116266522e-08,0.12360489796,0.44290881328,6.0790685043e-08,2.3318664524e-07,0.14104855341,0.85233082371,6.4254124727e-31,0.0020378346328,1.000000162026658,0.1977734562778161,0.802226705748842
0.12000000000000001,2.9578128927e-08,0.13637399897,0.44422135388,5.6796984414e-08,2.1796937322e-07,0.1579205953,0.85774421675,8.1352202412e-31,0.0019631298088,1.0000001511563448,0.21820459983865598,0.7817955513176889
0.13,2.7431275749e-08,0.14943664252,0.44743614478,5.3507868893e-08,2.0530657414e-07,0.17570468621,0.86301354273,1.0211113932e-30,0.0018904131103,1.0000001420974556,0.2391054248158557,0.7608947172815999
0.14,2.5690858647e-08,0.16280306845,0.44795537138,5.077774977e-08,1.9466091971e-07,0.19447683425,0.86813981561,1.2707162926e-30,0.0018196705446,1.0000001345127356,0.26049231543834944,0.7395078190743862
0.15000000000000002,2.4241887119e-08,0.1764839985,0.44311787888,4.8502265781e-08,1.8575177199e-07,0.21432173458,0.87312413027,1.5679518779e-30,0.0017508870023,1.0000001281445954,0.2823824269494943,0.717617701195101
0.16,2.2999113791e-08,0.19049066496,0.44865140014,4.6595947523e-08,1.7795363935e-07,0.23533404722,0.87796766106,1.9185065808e-30,0.0016840462774,1.0000001226353663,0.3047937315816191,0.6952063910537472
0.17,2.1933698654e-08,0.20483484143,0.43494476427,4.5007245258e-08,1.7149695116e-07,0.25761990644,0.88267166025,2.3279777647e-30,0.0016191310885,1.0000001179663771,0.3277450675269011,0.672255050439476
0.18,2.1036325894e-08,0.21952887584,0.44626531002,4.3681325106e-08,1.6579442139e-07,0.28129871458,0.88723745636,2.8016804711e-30,0.0015561231022,1.0000001139760029,0.3512561921536718,0.648743921822331
0.19,2.0274347459e-08,0.23458572589,0.45132222181,4.2585452102e-08,1.6087154117e-07,0.30650528127,0.8916664523,3.3444336578e-30,0.0014950029582,1.000000110517584,0.3753478383124829,0.6246522722051011
0.2,1.9643634821e-08,0.25001899716,0.45188489422,4.1692860953e-08,1.5670847194e-07,0.33339239198,0.89596012347,3.9603302995e-30,0.0014357502962,1.0000001075865947,0.40004177553063347,0.5999583320559613
0.21000000000000002,1.9108609282e-08,0.26584298413,0.45247970373,4.0979554202e-08,1.5314710113e-07,0.36213390751,0.90012001569,4.6524995277e-30,0.0013783437834,1.0000001050826761,0.42536087563855585,0.5746392294441203
0.22,1.8671012423e-08,0.28207271432,0.45300690787,4.0427604118e-08,1.501171344e-07,0.39292852757,0.90414774309,5.4228705694e-30,0.0013227611453,1.0000001029645058,0.45132918335944633,0.5486709196050594
0.23,1.8319971007e-08,0.29872399591,0.45348544107,4.0022760721e-08,1.4756134418e-07,0.42600439091,0.90804498577,6.2719494039e-30,0.0012689791963,1.0000001011903554,0.4779719924904472,0.5220281086999082
0.24000000000000002,1.804791716e-08,0.31581346909,0.45387762576,3.9753743491e-08,1.4543292032e-07,0.46162473712,0.91181348751,7.1986196952e-30,0.0012169738723,1.0000000997268101,0.5053159280843776,0.4946841716424325
0.25,1.7838083152e-08,0.3333586615,0.46829711213,3.9610034162e-08,1.4370737459e-07,0.50009492738,0.9154550533,8.1999795657e-30,0.0011667202645,1.0000000985979778,0.5333890352002677,0.4666110633977101
