D_vals,π1,π2,S3,I3,Uphi,Un,Ud,m
0.0019034608578434298,0.10000760118836728,0.10002316873157925,0.888764446737055,0.07290275457308813,0.06375728044648775,0.9887553801493958,0.924998099702908,0.1
0.0018351362472859302,0.110008361307204,0.11002528510351584,0.8927132011546679,0.0696966737310339,0.06999543384946269,0.9924933435226617,0.922497909673199,0.11
0.0017692982459093236,0.12000912142604074,0.12002736667403675,0.8965102774205247,0.06662504882989975,0.07620857449262174,0.9962062941361115,0.9199977196434898,0.12000000000000001
0.001705872789744965,0.13000988154487747,0.1300294138564605,0.9001610414297605,0.06368287019987921,0.08239670257209385,0.9998942321858744,0.9174975296137805,0.13
0.0016447868956425303,0.14001064166371419,0.1400314270640998,0.9036707014606319,0.06086528017140103,0.08855981828194043,1.0035571578660119,0.9149973395840714,0.14
0.0015859687177773804,0.15001140178255093,0.15003340671026164,0.9070443111909579,0.05816757010314626,0.09469792181415523,1.0071950713685174,0.9124971495543621,0.15000000000000002
0.001529347598819103,0.16001216190138765,0.16003535320824716,0.9102867727321442,0.05558517739253605,0.10081101335866441,1.0108079728833175,0.9099969595246531,0.16
0.0014748541159092488,0.1700129220202244,0.17003726697135205,0.9134028396761031,0.05311368247337075,0.10689909310332661,1.0143958625982705,0.907496769494944,0.17
0.001422420121607827,0.18001368213906108,0.18003914841286625,0.9163971201506284,0.050748805805067694,0.11296216123393298,1.0179587406991677,0.9049965794652347,0.18
0.0013719787799780008,0.19001444225789782,0.19004099794607432,0.9192740798790007,0.04848640485771542,0.11900021793420727,1.0214966073697327,0.9024963894355255,0.19
0.0013234645979867353,0.20001520237673456,0.2000428159842551,0.9220380452398337,0.046322471096943325,0.1250132633858057,1.025009462791622,0.8999961994058163,0.2
0.0012768134524059763,0.2100159624955713,0.2100446029406823,0.9246932063233673,0.04425312697239036,0.13100129776831734,1.0284973071444246,0.8974960093761072,0.21000000000000002
0.0012319626124043183,0.220016722614408,0.22004635922862406,0.9272436199806366,0.042274622913350796,0.1369643212592637,1.0319601406056615,0.8949958193463978,0.22
0.0011888507580231568,0.23001748273324474,0.23004808526134327,0.9296932128621365,0.040383334334975596,0.1429023340340992,1.035397963350788,0.8924956293166888,0.23
0.0011474179947340418,0.24001824285208148,0.24004978145209757,0.9320457844427942,0.03857575865821396,0.14881533626621093,1.0388107755531906,0.8899954392869797,0.24000000000000002
0.0011076058642755788,0.25001900297091817,0.25005144821413944,0.9343050100302566,0.036848512346494035,0.15470332812691884,1.0421985773841893,0.8874952492572705,0.25
0.0010693573519685979,0.26001976308975494,0.2600530859607162,0.9364744437536692,0.03519832796196048,0.16056630978547576,1.045561369013037,0.8849950592275613,0.26
0.0010326168907078847,0.27002052320859166,0.2700546951050701,0.9385575215303058,0.03362205124391389,0.1664042814090673,1.0488991506069194,0.8824948691978521,0.27
0.0009973303618271844,0.28002128332742837,0.28005627606043826,0.9405575640075691,0.03211663821192781,0.1722172431628121,1.052211922330955,0.8799946791681429,0.28
0.000963445093031968,0.29002204344626514,0.29005782924005313,0.9424777794780517,0.0306791522959579,0.1780051952097617,1.0554996843481954,0.8774944891384338,0.29000000000000004
0.0009309098535914064,0.30002280356510186,0.3000593550571418,0.9443212667654973,0.029306761495601463,0.1837681377109007,1.0587624368196251,0.8749942991087244,0.30000000000000004
0.0008996748469772142,0.3100235636839385,0.31006085392492694,0.946091018079653,0.02799673557051454,0.18950607082514664,1.062000179904162,0.8724941090790155,0.31
0.0008696917011328487,0.3200243238027753,0.32006232625662623,0.9477899218381569,0.026746443263849312,0.1952189947093503,1.0652129137586566,0.8699939190493062,0.32
0.000840913456551653,0.330025083921612,0.33006377246545254,0.9494207654537272,0.025553349560434143,0.20090690951829554,1.0684006385378924,0.8674937290195968,0.33
0.0008132945523373859,0.3400258440404487,0.34006519296461424,0.9509862380850758,0.024415012981284703,0.2065698154046992,1.071563354394587,0.8649935389898878,0.33999999999999997
0.0007867908104149449,0.35002660415928544,0.35006658816731495,0.9524889333500817,0.023329082915905037,0.2122077125192116,1.0747010614793902,0.8624933489601785,0.35
0.0007613594180532473,0.36002736427812215,0.36006795848675377,0.9539313519998903,0.02229329699371277,0.21782060101041614,1.0778137599408855,0.8599931589304693,0.36
0.0007369589088560909,0.3700281243969589,0.3700693043361253,0.9553159045527241,0.021305478495803613,0.22340848102482944,1.0809014499255896,0.8574929689007601,0.37
0.0007135491423705569,0.38002888451579564,0.3800706261286196,0.9566449138863053,0.02036353380815515,0.22897135270690144,1.0839641315779525,0.854992778871051,0.38
0.0006910912824560613,0.39002964463463236,0.3900719242774225,0.9579206177879005,0.019465449917259826,0.23450921619901555,1.0870018050403574,0.8524925888413418,0.39
0.0006695477745507038,0.4000304047534691,0.4000731991957153,0.9591451714611006,0.018609291949071315,0.24002207164148834,1.090014470453121,0.8499923988116326,0.4
0.0006488823219650044,0.41003116487230584,0.41007445129667514,0.9603206499885582,0.01779320075204728,0.24550991917256995,1.0930021279544935,0.8474922087819236,0.41000000000000003
0.0006290598613265892,0.4200319249911426,0.42007568099347503,0.9614490507499913,0.01701539052497401,0.25097275892844406,1.0959647776806583,0.8449920187522142,0.42000000000000004
0.0006100465372929092,0.43003268510997933,0.4300768886992834,0.9625322957948639,0.01627414649016612,0.25641059104322744,1.0989024197657327,0.8424918287225052,0.43000000000000005
0.0005918096766426385,0.44003344522881604,0.4400780748272651,0.9635722341692383,0.015567822612544972,0.2618234156489707,1.1018150543417666,0.8399916386927959,0.44000000000000006
