m,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,πA00,πB00,πA01,πA10,πB01,πB10,πA11,πB11,S4,I4,D_vals,Ud
0.1,0.5555285099018648,0,-7.993605777301127e-15,-0.1428726817290904,0.20002175442071551,0.0,0.2000217544207205,0.0,0,0.0,0.12504525044789913,0.12504525044789913,0.0,0.0,0.0,0.0,0,0,0.8912442094507337,0.06637960537904489,0.0017953304915486056,1.2
0.11,0.5617708253024285,0,1.0769163338864018e-14,-0.1571598318354146,0.22002376456959535,0.0,0.22002376456958853,0.0,0,0.0,0.14107649522839444,0.14107649522839444,0.0,0.0,0.0,0.0,0,0,0.8961359709801149,0.06264768536339684,0.001713480256998433,1.1999999999999924
0.12000000000000001,0.5681550070908775,0,6.5503158452884236e-15,-0.17144696180808583,0.24002574653132946,0.0,0.24002574653132522,0.0,0,0.0,0.15795148349432997,0.15795148349432997,0.0,0.0,0.0,0.0,0,0,0.9008207599347713,0.05908926733476609,0.0016349258986738838,1.1999999999999953
0.13,0.5746859472115999,0,9.103828801926284e-15,-0.18573407198031888,0.2600277007724589,0.0,0.26002770077245296,0.0,0,0.0,0.17573863672666987,0.17573863672666987,0.0,0.0,0.0,0.0,0,0,0.9053050184985859,0.055698620536225714,0.0015595858623094624,1.1999999999999935
0.14,0.581368765141304,0,2.4091839634365897e-14,-0.20002116268534342,0.2800296277595144,0.0,0.2800296277594985,0.0,0,0.0,0.19451397967077064,0.19451397967077064,0.0,0.0,0.0,0.0,0,0,0.9095951036562745,0.0524700908316246,0.0014873777292026549,1.1999999999999829
0.15000000000000002,0.5882088212732683,0,2.7977620220553945e-14,-0.21430823425641043,0.30003152795901367,0.0,0.30003152795899507,0.0,0,0.0,0.21436222664856014,0.21436222664856014,0.0,0.0,0.0,0.0,0,0,0.9136972828380412,0.04939810501892135,0.001418218405280034,1.1999999999999802
0.16,0.595211731257575,0,2.2648549702353193e-14,-0.22859528702674847,0.3200334018374796,0.0,0.32003340183746426,0.0,0,0.0,0.23537805959676913,0.23537805959676913,0.0,0.0,0.0,0.0,0,0,0.9176177298865525,0.04647717482464967,0.0013520243045107793,1.1999999999999842
0.17,0.6023833813780682,0,-2.731148640577885e-14,-0.24288232132961252,0.3400352498614192,0.0,0.3400352498614379,0.0,0,0.0,0.2576676385056028,0.2576676385056028,0.0,0.0,0.0,0.0,0,0,0.921362521336814,0.043701900588866964,0.001288711526255266,1.2
0.18,0.609729945054276,0,2.919886554764162e-14,-0.2571693374981139,0.3600370724974006,0.0,0.36003707249738015,0.0,0,0.0,0.2813503951021826,0.2813503951021826,0.0,0.0,0.0,0.0,0,0,0.9249376329996036,0.04106697464989784,0.0012281960261851029,1.1999999999999793
0.19,0.6172579005661387,0,4.063416270128073e-14,-0.2714563358655917,0.38003887021188515,0.0,0.3800388702118563,0.0,0,0.0,0.3065611737460038,0.3065611737460038,0.0,0.0,0.0,0.0,0,0,0.928348936839144,0.03856718443813151,0.0011703937804594514,1.1999999999999718
0.2,0.624974050107473,0,4.418687638008123e-14,-0.2857433167652388,0.4000406434713958,0.0,0.4000406434713638,0.0,0,0.0,0.33345280056399246,0.33345280056399246,0.0,0.0,0.0,0.0,0,0,0.9316021981357734,0.03619741528807444,0.001115220942890569,1.199999999999969
0.21000000000000002,0.632885540286992,0,4.8405723873656825e-14,-0.3000302805302679,0.42004239274244276,0.0,0.420042392742407,0.0,0,0.0,0.3621991842084541,0.3621991842084541,0.0,0.0,0.0,0.0,0,0,0.9347030729244297,0.033952652977791924,0.0010625939948785046,1.199999999999966
0.22,0.6409998842062211,0,-4.2521541843143495e-14,-0.31431722749396696,0.44004411849149433,0.0,0.4400441184915266,0.0,0,0.0,0.39299908116375926,0.39299908116375926,0.0,0.0,0.0,0.0,0,0,0.9376571056998433,0.03182798600479719,0.0010124298879406743,1.1999999999999997
0.23,0.6493249852574666,0,4.773959005888173e-14,-0.3286041579893497,0.4600458211851566,0.0,0.4600458211851195,0.0,0,0.0,0.42608069791923475,0.42608069791923475,0.0,0.0,0.0,0.0,0,0,0.940469727379416,0.02981860760736477,0.0009646461787061176,1.1999999999999666
0.24000000000000002,0.657869162801361,0,4.729550084903167e-14,-0.34289107234982774,0.48004750128982515,0.0,0.4800475012897875,0.0,0,0.0,0.46170735535512825,0.46170735535512825,0.0,0.0,0.0,0.0,0,0,0.94314625351485,0.027919817540157717,0.0009191611562866442,1.1999999999999666
0.25,0.666641179897614,0,-4.75175454539567e-14,-0.35717797090861314,0.5000491592719918,0.0,0.5000491592720309,0.0,0,0.0,0.5001845128117498,0.5001845128117498,0.0,0.0,0.0,0.0,0,0,0.9456918827436898,0.02612702361295902,0.000875893961976987,1.2000000000000002
0.26,0.6756502732846774,0,5.440092820663267e-14,-0.3714648539987093,0.5200507955982693,0.0,0.520050795598223,0.0,0,0.0,0.5418685484861012,0.5418685484861012,0.0,0.0,0.0,0.0,0,0,0.9481116954720399,0.024435743001200765,0.00083476470127415,1.199999999999962
0.27,0.6849061858239948,0,4.596323321948148e-14,-0.3857517219535409,0.5400524107350217,0.0,0.5400524107349808,0.0,0,0.0,0.587177830788983,0.587177830788983,0.0,0.0,0.0,0.0,0,0,0.9504106527798236,0.022841603336875512,0.0007956945482413977,1.1999999999999678
0.28,0.6944192016468461,0,4.75175454539567e-14,-0.40003857510622853,0.5600540051487864,0.0,0.5600540051487423,0.0,0,0.0,0.6366068097450241,0.6366068097450241,0.0,0.0,0.0,0.0,0,0,0.9525935955400765,0.021340343588299535,0.0007586058422751369,1.1999999999999669
0.29000000000000004,0.7042001842722712,0,3.708144902248023e-14,-0.414325413789991,0.5800555793060388,0.0,0.5800555793060027,0.0,0,0.0,0.6907441353198538,0.6907441353198538,0.0,0.0,0.0,0.0,0,0,0.9546652437438633,0.019927814737084774,0.0007234221773632589,1.1999999999999738
0.30000000000000004,0.7142606179918052,0,2.842170943040401e-14,-0.42861223833801976,0.6000571336732674,0.0,0.6000571336732379,0.0,0,0.0,0.7502962123976944,0.7502962123976944,0.0,0.0,0.0,0.0,0,0,0.9566301960225508,0.018599980260549702,0.00069006848395089,1.19999999999998
0.31,0.7246126528530205,0,2.55351295663786e-14,-0.44289904908351363,0.6200586687169545,0.0,0.620058668716926,0.0,0,0.0,0.8161181958328215,0.8161181958328215,0.0,0.0,0.0,0.0,0,0,0.9584929293592827,0.017352916427674857,0.0006584711035544556,1.1999999999999824
0.32,0.7352691536121736,0,2.6201263381153694e-14,-0.45718584635967185,0.6400601849035767,0.0,0.6400601849035451,0.0,0,0.0,0.8892553196184682,0.8892553196184682,0.0,0.0,0.0,0.0,0,0,0.9602577989816405,0.016182812416577267,0.0006285578562870769,1.199999999999982
0.33,0.7462437530706815,0,1.3766765505351941e-14,-0.47147263049969923,0.6600616826995989,0.0,0.6600616826995803,0.0,0,0.0,0.9709988164593123,0.9709988164593123,0.0,0.0,0.0,0.0,0,0,0.9619290384276058,0.015085970261343257,0.0006002581014779277,1.1999999999999897
0.33999999999999997,0.7684796474166841,0,2.2648549702353193e-14,-0.47885129849043717,0.6703918178866438,0.0,0.6900166842359617,0.0,0,0.0,1.0,1.0,0.029620567692504807,0.029620567692504807,0.029620567692504807,0.029620567692504807,0,0,0.963303352331834,0.014259030450970775,0.0005773375767663516,1.1999999999999842
0.35,0.7950881407055254,0,1.532107773982716e-14,-0.4837683703190203,0.6772757184466502,0.0,0.7244381621802981,0.0,0,0.0,1.0,1.0,0.07163073261136589,0.07163073261136589,0.07163073261136589,0.07163073261136589,0,0,0.9645184514688299,0.01356899232307487,0.0005572623731576854,1.1999999999999886
0.36,0.8207462286945049,0,-2.2870594307278225e-14,-0.4895664961769166,0.6853930946476507,0.0,0.7584303079089509,0.0,0,0.0,1.0,1.0,0.11130697761875115,0.11130697761875115,0.11130697761875115,0.11130697761875115,0,0,0.9656832614172728,0.012911044592214524,0.0005380237756825849,1.2000000000000002
0.37,0.8457128198732042,0,2.6867397195928788e-14,-0.496062409720635,0.694487373608926,0.0,0.7920456877135864,0.0,0,0.0,1.0,1.0,0.14883854333014582,0.14883854333014582,0.14883854333014582,0.14883854333014582,0,0,0.9667994598435438,0.012283998863257138,0.0005195944263441634,1.1999999999999813
0.38,0.8701979550379142,0,-4.263256414560601e-14,-0.5031203764963799,0.7043685270948711,0.0,0.8253286228248035,0.0,0,0.0,1.0,1.0,0.18439474986765553,0.18439474986765553,0.18439474986765553,0.18439474986765553,0,0,0.9678686927037441,0.011686692284438959,0.0005019473925916096,1.2000000000000006
0.39,0.8943755858398588,0,5.062616992290714e-14,-0.5106377224692633,0.7148928114570393,0.0,0.8583167449938461,0.0,0,0.0,1.0,1.0,0.21812755084352972,0.21812755084352972,0.21812755084352972,0.21812755084352972,0,0,0.9688925724552497,0.011117988513711485,0.00048505620576049457,1.1999999999999644
0.4,0.9183927216827192,0,5.595524044110789e-14,-0.518535346237547,0.7259494847326444,0.0,0.8910422126940327,0.0,0,0.0,1.0,1.0,0.25017370423038765,0.25017370423038765,0.25017370423038765,0.25017370423038765,0,0,0.9698726767410102,0.010576778408697644,0.0004688948912962972,1.1999999999999604
0.41000000000000003,0.942376113296622,0,-6.772360450213455e-14,-0.5267513212906743,0.7374518498068483,0.0,0.9235326712920376,0.0,0,0.0,1.0,1.0,0.28065662553151016,0.28065662553151016,0.28065662553151016,0.28065662553151016,0,0,0.9708105474352486,0.010061980504129972,0.0004534379925803503,1.2000000000000004
0.42000000000000004,0.9664372330192541,0,-7.682743330406083e-14,-0.535236474646331,0.7493310645047558,0.0,0.9558120179403878,0.0,0,0.0,1.0,1.0,0.3096879762038779,0.3096879762038779,0.3096879762038779,0.3096879762038779,0,0,0.9717076899691592,0.009572541323561765,0.0004386605896937326,1.2000000000000002
0.43000000000000005,0.9906760576637041,0,8.038014698286133e-14,-0.5439512644484794,0.7615317702279837,0.0,0.9879010160071284,0.0,0,0.0,1.0,1.0,0.3373690304342816,0.3373690304342816,0.3373690304342816,0.3373690304342816,0,0,0.9725655728763041,0.009107435560088363,0.000424538314113464,1.1999999999999438
0.44000000000000006,1,0,0.02895649171283088,-0.5323017190498418,0.7857614950677418,0.0,1.0,0.00040520151538884044,0,0.0,1.0,1.0,0.3637915816955742,0.3637915816955742,0.3637915816955742,0.3637915816955742,0,0,0.9734196291305549,0.00864330775542784,0.0004104674938748651,1.1797304558010182
0.45000000000000007,1,0,0.07740960681798348,-0.507041091992734,0.818230978335004,0.0,1.0,0.0004965676346358079,0,0.0,1.0,1.0,0.3890396685246742,0.3890396685246742,0.3890396685246742,0.3890396685246742,0,0,0.974255269355544,0.008189675784096238,0.0003966967206788596,1.1458132752274117
0.45999999999999996,1,0,0.1282381139740323,-0.4802640539235452,0.8519030350566087,0.0,1.0,0.0006335923037520547,0,0.0,1.0,1.0,0.4131900529503173,0.4131900529503173,0.4131900529503173,0.4131900529503173,0,0,0.9750524334871891,0.00775968267532092,0.00038356854819871644,1.1102333202181776
0.47,1,0,0.1815386975124489,-0.4519225420790409,0.8868457354280858,0.0,1.0,0.000861956944943582,0,0.0,1.0,1.0,0.4363128005277232,0.4363128005277232,0.4363128005277232,0.4363128005277232,0,0,0.9758123602510109,0.007352474946787155,0.0003710624313658709,1.0729229117412855
0.48,1,0,0.23741868715056547,-0.42196158843075615,0.9231323858138504,0.0,1.0,0.0013187744931152559,0,0.0,1.0,1.0,0.45847213801549497,0.45847213801549497,0.45847213801549497,0.45847213801549497,0,0,0.9765362689649911,0.006967214294792147,0.0003591580952409416,1.0338069189946038
0.49,1,0,0.2959967678778268,-0.3903189764772419,0.9608420420970959,0.0,1.0,0.0026904346753651915,0,0.0,1.0,1.0,0.47972704917119446,0.47972704917119446,0.47972704917119446,0.47972704917119446,0,0,0.9772253594569131,0.006603077645880648,0.0003478355413288705,0.9928022624855211
0.5,1,0,0.357240246454384,-0.35700255023727934,1.0,6.008463167133865e-05,1.0,1.0,1,0.00010948537672345365,1.0,1.0,0.5001167974537583,0.5001167974537583,0.5001167974537583,0.5001167974537583,0,0,0.9778799832253506,0.006259693939853186,0.00033708867160963654,0.9499092974022181
0.51,1,0,0.33843927444653543,-0.34779231776333486,1.0,0.039275770906181194,1.0,1.0,1,0.00011378073687064532,1.0,1.0,0.5101189542433036,0.5101189542433036,0.5101189542433036,0.5101189542433036,0,0,0.9781632203858115,0.006118582800021425,0.000332475653841072,0.948749596704777
0.52,1,0,0.3219971474404,-0.3373005943062086,1.0,0.07698316155474835,1.0,1.0,1,0.00011824812766046938,1.0,1.0,0.5201211102917627,0.5201211102917627,0.5201211102917627,0.5201211102917627,0,0,0.9784401677249752,0.005982048117903241,0.00032797182385376107,0.9472882423265945
0.53,1,0,0.3078827782886915,-0.32549748471024964,1.0,0.1132676318014828,1.0,1.0,1,0.00012289852978413917,1.0,1.0,0.5301232659497326,0.5301232659497326,0.5301232659497326,0.5301232659497326,0,0,0.978710980530998,0.005849939866968478,0.00032357433106264635,0.9455423089941755
0.54,1,0,0.2960761244262806,-0.3123465664452767,1.0,0.14820823277981957,1.0,1.0,1,0.00012774387877556223,1.0,1.0,0.5401254215668999,0.5401254215668999,0.5401254215668999,0.5401254215668999,0,0,0.9789758087342411,0.00572211337279265,0.0003192804226641356,0.9435276066168574
0.55,1,0,0.28656813742795695,-0.29780452939357627,1.0,0.18187826644985328,1.0,1.0,1,0.000132797171104739,1.0,1.0,0.5501275774920397,0.5501275774920397,0.5501275774920397,0.5501275774920397,0,0,0.9792347970403616,0.005598429179937859,0.0003150874413287704,0.941258795270302
0.56,1,0,0.2793608456804737,-0.28182072652139345,1.0,0.21434579891738578,1.0,1.0,1,0.00013807258473911614,1.0,1.0,0.5601297340730155,0.5601297340730155,0.5601297340730155,0.5601297340730155,0,0,0.9794880850614038,0.005478752920834712,0.00031099282291974825,0.93874948786032
0.5700000000000001,1,0,0.274467574245739,-0.26433662595469576,1.0,0.24567411971939085,1.0,1.0,1,0.00014358561652710728,1.0,1.0,0.570131891656779,0.570131891656779,0.570131891656779,0.570131891656779,0,0,0.9797358074448919,0.0053629551866597736,0.00030699409423784235,0.9360123419799895
0.58,1,0,0.27191330925279766,-0.24528515246349647,1.0,0.2759221535971885,1.0,1.0,1,0.00014935323920679027,1.0,1.0,0.5801340505893685,0.5801340505893685,0.5801340505893685,0.5801340505893685,0,0,0.979978094000935,0.005250911400202826,0.00030308887079323117,0.933059142264314
0.59,1,0,0.2717352177444847,-0.22458990340238438,1.0,0.30514483039438317,1.0,1.0,1,0.00015539408139390724,1.0,1.0,0.5901362112159094,0.5901362112159094,0.5901362112159094,0.5901362112159094,0,0,0.9802150698273491,0.005142501690718141,0.0002992748546046889,0.9299008743698409
0.6,1,0,0.2739833379687142,-0.202164220627711,1.0,0.3333934179650046,1.0,1.0,1,0.00016172863456532326,1.0,1.0,0.6001383738806132,0.6001383738806132,0.6001383738806132,0.6001383738806132,0,0,0.9804468554327981,0.005037610770754057,0.00029554983202659957,0.9265477915563256
