D_vals,π1,π2,S3,I3,Uphi,Un,Ud,m
0.0018403990254190128,0.10000760118836728,0.10002316873157925,0.8923491132659476,0.06978354057024226,0.1850238009540939,1.3350200003599102,1.1499961994058163,0.1
0.001768647410486063,0.110008361307204,0.11002528510351584,0.8964825833542778,0.06642323876308344,0.202975882482808,1.347971701829206,1.1449958193463978,0.11
0.001699802019686006,0.12000912142604074,0.12002736667403675,0.9004401617084735,0.06321911406629417,0.2208279129722584,1.3608233522592381,1.1399954392869798,0.12000000000000001
0.0016337648268760188,0.13000988154487747,0.1300294138564605,0.9042287987323281,0.0601646710323368,0.23857989320696113,1.3735749524345224,1.1349950592275613,0.13
0.0015704395846899571,0.14001064166371419,0.1400314270640998,0.9078552137946491,0.05725363732006785,0.25623182396316174,1.3862265031313046,1.1299946791681428,0.14
0.0015097318997795528,0.15001140178255093,0.15003340671026164,0.9113259005385623,0.054479958454345945,0.27378370600883534,1.3987780051175598,1.1249942991087245,0.15000000000000002
0.001451549299036207,0.16001216190138765,0.16003535320824716,0.914647132184803,0.051837792591716295,0.29123554010368624,1.4112294591529926,1.1199939190493065,0.16
0.001395801287124558,0.1700129220202244,0.17003726697135205,0.9178249668219585,0.049321505299200964,0.30858732699914937,1.4235808659890372,1.114993538989888,0.17
0.0013423993956772045,0.18001368213906108,0.18003914841286625,0.9208652526770487,0.04692566435281419,0.3258390674383892,1.4358322263688588,1.1099931589304695,0.18
0.0012912572245145752,0.19001444225789782,0.19004099794607432,0.9237736333602169,0.044645034562023705,0.3429907621563006,1.4479835410273516,1.104992778871051,0.19
0.0012422904752653204,0.20001520237673456,0.2000428159842551,0.926555553077699,0.04247457262599902,0.3600424118795087,1.4600348106911414,1.0999923988116327,0.2
0.001195416977770472,0.2100159624955713,0.2100446029406823,0.9292162618075925,0.040409422027115,0.37699401732636945,1.4719860360785837,1.0949920187522142,0.21000000000000002
0.001150556709659865,0.220016722614408,0.22004635922862406,0.9317608204333199,0.03844490796682596,0.3938455792069691,1.4838372178997652,1.0899916386927961,0.22
0.0011076318094915385,0.23001748273324474,0.23004808526134327,0.9341941058300064,0.036576532348681044,0.41059709822312546,1.495588356856503,1.0849912586333774,0.23
0.0010665665838446782,0.24001824285208148,0.24004978145209757,0.9365208158993384,0.03479996881292231,0.42724857506838665,1.507239453642346,1.0799908785739594,0.24000000000000002
0.001027287508754199,0.25001900297091817,0.25005144821413944,0.9387454745487768,0.03311105782678796,0.44380001042803274,1.5187905089425735,1.0749904985145409,0.25
0.0009897232258705142,0.26001976308975494,0.2600530859607162,0.940872436611305,0.031505801834338126,0.4602514049790747,1.530241523434197,1.0699901184551224,0.26
0.0009538045337217013,0.27002052320859166,0.2700546951050701,0.9429058927021954,0.02998036046932603,0.47660275939025515,1.5415924977859592,1.064989738395704,0.27
0.000919464374447331,0.28002128332742837,0.28005627606043826,0.9448498740095483,0.02853104583435439,0.4928540743220486,1.5528434326583342,1.0599893583362856,0.28
0.0008866378163638616,0.29002204344626514,0.29005782924005313,0.9467082570156398,0.027154317849285455,0.5090053504266614,1.5639943287035287,1.0549889782768673,0.29000000000000004
0.0008552620327110115,0.30002280356510186,0.3000593550571418,0.9484847681463652,0.025846779671612287,0.5250565883480315,1.5750451865654806,1.0499885982174493,0.30000000000000004
0.0008252762769169599,0.3100235636839385,0.31006085392492694,0.9501829883463271,0.024605173191248126,0.5410077887218295,1.5859960068798602,1.0449882181580308,0.31
0.0007966218547079467,0.3200243238027753,0.32006232625662623,0.9518063575773492,0.023426374601951568,0.5568589521754586,1.5968467902740708,1.0399878380986123,0.32
0.0007692420933748226,0.330025083921612,0.33006377246545254,0.9533581792384229,0.022307390051373954,0.5726100793280537,1.6075975373672478,1.034987458039194,0.33
0.000743082308495667,0.3400258440404487,0.34006519296461424,0.9548416245053288,0.021245351371496406,0.5882611707904829,1.6182482487702585,1.0299870779797757,0.33999999999999997
0.0007180897683997558,0.35002660415928544,0.35006658816731495,0.9562597365883728,0.02023751189101227,0.6038122271653468,1.6287989250857038,1.024986697920357,0.35
0.0006942136566441481,0.36002736427812215,0.36006795848675377,0.9576154349068815,0.019281242331009252,0.619263249046979,1.639249566907918,1.0199863178609387,0.36
0.0006714050327599941,0.3700281243969589,0.3700693043361253,0.9589115191792947,0.018374026785113056,0.6346142370214465,1.6496001748229667,1.0149859378015202,0.37
0.0006496167915115446,0.38002888451579564,0.3800706261286196,0.9601506734278831,0.017513458785070227,0.6498651916665488,1.659850749408651,1.0099855577421022,0.38
0.0006288036208967936,0.39002964463463236,0.3900719242774225,0.9613354698972807,0.016697237452572324,0.6650161135518194,1.6700012912345032,1.0049851776826837,0.39
0.0006089219591047768,0.4000304047534691,0.4000731991957153,0.9624683728862033,0.015923163737956294,0.680067003238525,1.6800518008617904,0.9999847976232654,0.4
0.0005899299506309336,0.41003116487230584,0.41007445129667514,0.9635517424918763,0.015189136746256708,0.6950178612796659,1.690002278843513,0.994984417563847,0.41000000000000003
0.0005717874017385836,0.4200319249911426,0.42007568099347503,0.9645878382668431,0.014493150150933588,0.7098686882199764,1.699852725724405,0.9899840375044285,0.42000000000000004
0.0005544557354415638,0.43003268510997933,0.4300768886992834,0.9655788227879829,0.013833288695455883,0.7246194845959242,1.7096031420409346,0.9849836574450104,0.43000000000000005
0.0005378979461704653,0.44003344522881604,0.4400780748272651,0.9665267651376872,0.01320772478278353,0.7392702509357116,1.7192535283213037,0.9799832773855921,0.44000000000000006
