,m,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S3,I3,D_vals,Uphi,Un,Ud
0,0.1,0.6944069713046924,0,0.0,-0.10668053122334076,0.1600207968350112,0.0,0.266701328058352,0.0,0.0,0.0,0.8868512836799688,0.07444069244759434,0.0021247108886887633,0.1600207968350112,1.1600207968350111,1.0
1,0.11,0.7022100607318764,0,-5.551115123125783e-17,-0.11734845668673188,0.17602268503009794,0.0,0.29337114171683,0.0,0.0,0.0,0.890817908021392,0.07120914325592821,0.002049874236743701,0.176022685030098,1.176022685030098,1.0
2,0.12000000000000001,0.7101904847184745,0,0.0,-0.12801636045063847,0.19202454067595773,0.0,0.3200409011265962,0.0,0.0,0.0,0.8946589934334221,0.06809029059124579,0.0019771400153555437,0.19202454067595773,1.1920245406759578,1.0
3,0.13,0.7183543582493097,0,1.1102230246251565e-16,-0.13868424289285464,0.20802636433928218,0.0,0.34671060723213687,0.0,0.0,0.0,0.8983773831108351,0.06508140118147356,0.0019064822377157437,0.20802636433928218,1.2080263643392821,1.0
4,0.14,0.7267080807271039,0,1.6653345369377348e-16,-0.1493521043911712,0.22402815658675698,0.0,0.37338026097792815,0.0,0.0,0.0,0.9019758911191804,0.06217977096800215,0.001837873945266755,0.22402815658675698,1.224028156586757,1.0
5,0.15000000000000002,0.7352583527029424,0,-1.1102230246251565e-16,-0.1600199453233746,0.2400299179850616,0.0,0.4000498633084361,0.0,0.0,0.0,0.9054573017478773,0.05938272575259128,0.0017712872552917943,0.24002991798506165,1.2400299179850616,0.9999999999999999
6,0.16,0.744012193801771,0,0.0,-0.17068776606724656,0.25603164910086984,0.0,0.4267194151681164,0.0,0.0,0.0,0.9088243688934201,0.056687621814161725,0.0017066934095138154,0.25603164910086984,1.2560316491008698,1.0
7,0.17,0.7529769619437146,0,1.1102230246251565e-16,-0.1813555670005662,0.2720333505008494,0.0,0.45338891750141563,0.0,0.0,0.0,0.91207981547225,0.05409184649592653,0.0016440628235618946,0.2720333505008494,1.2720333505008494,1.0
8,0.18,0.7621603739718305,0,1.1102230246251565e-16,-0.19202334850110803,0.2880350227516622,0.0,0.48005837125277023,0.0,0.0,0.0,0.9152263328628352,0.051592818763310413,0.001583365137161583,0.2880350227516622,1.2880350227516622,1.0
9,0.19,0.7715705278078456,0,-2.220446049250313e-16,-0.20269111094664327,0.30403666641996446,0.0,0.5067277773666077,0.0,0.0,0.0,0.9182665803765134,0.049187989733104315,0.0015245692649051056,0.3040366664199646,1.3040366664199645,1.0
10,0.2,0.7812159262695729,0,1.1102230246251565e-16,-0.21335885471493776,0.3200382820724069,0.0,0.5333971367873448,0.0,0.0,0.0,0.9212031847566615,0.04687484317430001,0.0014676434474573904,0.3200382820724069,1.3200382820724068,0.9999999999999999
11,0.21000000000000002,0.7911055026972469,0,0.0,-0.2240265801837562,0.3360398702756341,0.0,0.5600664504593902,0.0,0.0,0.0,0.9240387397057368,0.04465089598104552,0.0014125553030547994,0.3360398702756341,1.3360398702756342,1.0
12,0.22,0.8012486485511134,0,-1.1102230246251565e-16,-0.2346942877308571,0.35204143159628554,0.0,0.5867357193271427,0.0,0.0,0.0,0.9267758054397627,0.042513698618161025,0.0013592718791551068,0.35204143159628565,1.3520414315962856,1.0
13,0.23,0.8116552431594836,0,-1.1102230246251565e-16,-0.24536197773399704,0.3680429666009952,0.0,0.6134049443349922,0.0,0.0,0.0,0.9294169082698157,0.040460835539651484,0.0013077597040997233,0.3680429666009953,1.3680429666009952,1.0
14,0.24000000000000002,0.822335685815316,0,0.0,-0.25602965057092786,0.3840444758563915,0.0,0.6400741264273192,0.0,0.0,0.0,0.9319645402100825,0.038489925580649564,0.0012579848386522483,0.3840444758563915,1.3840444758563915,1.0
15,0.25,0.8333009304405274,0,1.1102230246251565e-16,-0.2666973066193983,0.4000459599290975,0.0,0.6667432665484958,0.0,0.0,0.0,0.9344211586120558,0.036598622323220135,0.001209912927281232,0.4000459599290975,1.4000459599290975,1.0
16,0.26,0.8445625230609219,0,1.1102230246251565e-16,-0.2773649462571539,0.4160474193857311,0.0,0.6934123656428851,0.0,0.0,0.0,0.9367891858244394,0.03478461443645454,0.001163509249059409,0.41604741938573114,1.4160474193857309,0.9999999999999998
17,0.27,0.8561326423612515,0,0.0,-0.28803256986193637,0.4320488547929048,0.0,0.7200814246548414,0.0,0.0,0.0,0.9390710088783387,0.03304562599128028,0.001118738768056549,0.43204885479290484,1.432048854792905,1.0
18,0.28,0.8680241436198659,0,0.0,-0.29870017781148417,0.4480502667172262,0.0,0.7467504445287103,0.0,0.0,0.0,0.941268979197313,0.031379416750409124,0.001075566183108569,0.4480502667172262,1.4480502667172261,1.0
19,0.29000000000000004,0.8802506063561483,0,0.0,-0.3093677704835318,0.4640516557252977,0.0,0.7734194262088295,0.0,0.0,0.0,0.9433854123318688,0.02978378243384357,0.0010339559768513648,0.4640516557252977,1.4640516557252976,0.9999999999999999
20,0.30000000000000004,0.8928263860620181,0,-1.1102230246251565e-16,-0.32003534825581115,0.48005302238371644,0.0,0.8000883706395275,0.0,0.0,0.0,0.9454225877179774,0.028256554960359268,0.000993872463914028,0.4800530223837165,1.4800530223837165,1.0
21,0.31,0.905766670431825,0,0.0,-0.33070291150605025,0.4960543672590751,0.0,0.8267572787651252,0.0,0.0,0.0,0.9473827484592019,0.02679560266537768,0.0009552798381727651,0.4960543672590751,1.4960543672590751,1.0
22,0.32,0.9190875405537039,0,2.220446049250313e-16,-0.34137046061197385,0.5120556909179613,0.0,0.8534261515299354,0.0,0.0,0.0,0.9492681011320228,0.025398830495641123,0.0009181422189735429,0.5120556909179613,1.5120556909179612,0.9999999999999999
23,0.33,0.932806037580753,0,-1.1102230246251565e-16,-0.35203799595130514,0.5280569939269576,0.0,0.8800949898782628,0.0,0.0,0.0,0.9510808156139512,0.02406418018109871,0.0008824236962385568,0.5280569939269577,1.5280569939269577,1.0
24,0.33999999999999997,0.9469402354632276,0,0.0,-0.3627055179017613,0.544058276852642,0.0,0.9067637947544033,0.0,0.0,0.0,0.9528230249340267,0.02278963038440967,0.0008480883743787493,0.544058276852642,1.5440582768526419,0.9999999999999999
25,0.35,0.9615093203944763,0,-1.1102230246251565e-16,-0.37337302684105866,0.5600595402615879,0.0,0.9334325671026467,0.0,0.0,0.0,0.9544968251452927,0.02157319682846695,0.0008151004149418426,0.560059540261588,1.560059540261588,1.0
26,0.36,0.9765336777049315,0,0.0,-0.3840405231469095,0.576060784720364,0.0,0.9601013078672734,0.0,0.0,0.0,0.956104275218852,0.020412932402341644,0.0007834240779325981,0.576060784720364,1.5760607847203643,1.0000000000000002
27,0.37,0.9920349870317199,0,0.0,-0.39470800719702304,0.5920620107955346,0.0,0.9867700179925576,0.0,0.0,0.0,0.9576473969591053,0.019306927246045658,0.0007530237617492933,0.5920620107955346,1.5920620107955346,1.0
28,0.38,1,0,0.021675829648545752,-0.38695737950822395,0.6129498137351542,0.0,1.0,0.00023977964593555496,0.0,0.0,0.959165897150575,0.0182155866037065,0.0007230259726639263,0.6130054977891274,1.6,0.9869945022108727
29,0.39,1,0,0.06575132566691355,-0.3605105810376028,0.6393928600567744,0.0,1.0,0.00026776759228341207,0.0,0.0,0.9606593577665876,0.01713944061488553,0.0006934431839489654,0.6394507954001482,1.6,0.9605492045998519
