D_vals,π1,π20,π21,S3,I3,Uphi,Un,Ud,m
0.04793830055850578,0.10000760118836728,0.11156086799816657,0.0,0.889495682098558,0.07217151921158522,0.19029187466826522,1.3402880740740817,1.1499961994058165,0.1
0.046149967218419415,0.110008361307204,0.12409015768773904,0.0,0.8935616709583194,0.06884820392738235,0.20931747551895563,1.3543132948653536,1.144995819346398,0.11
0.04442295904476308,0.12000912142604074,0.13690321849604964,0.0,0.897479058931993,0.06565626731843167,0.2283424541780079,1.3683378934649875,1.1399954392869796,0.12000000000000001
0.04275585307050503,0.13000988154487747,0.15000984875714793,0.0,0.9012522422336645,0.06259166939597527,0.24736681811661923,1.3823618773441804,1.134995059227561,0.13
0.041147225367425426,0.14001064166371419,0.16342030257740833,0.0,0.9048855324621266,0.05965044916990615,0.26639057480332395,1.396385253971467,1.129994679168143,0.14
0.03959565293104861,0.15001140178255093,0.1771453166481092,0.0,0.908383156575134,0.05682872471896999,0.28541373170401985,1.4104080308127445,1.1249942991087245,0.15000000000000002
0.038099715497299784,0.16001216190138765,0.1911961389733699,0.0,0.9117492569348212,0.05412269318985914,0.3044362962819951,1.4244302153313013,1.1199939190493062,0.16
0.03665799728878631,0.1700129220202244,0.2055845596749959,0.0,0.9149878914214054,0.051528630728068646,0.32345827599795535,1.438451814987843,1.1149935389898875,0.17
0.03526908868894555,0.18001368213906108,0.2203229440515461,0.0,0.9181030336123812,0.049042892343314895,0.3424796783100495,1.452472837240519,1.1099931589304695,0.18
0.033931587842636855,0.19001444225789782,0.23542426808644998,0.0,0.9210985730244649,0.04666191171225129,0.36150051067389793,1.466493289544949,1.104992778871051,0.19
0.03264410218207994,0.20001520237673456,0.2509021566194856,0.0,0.923978315415628,0.044382200921149036,0.3805207805426175,1.4805131793542503,1.099992398811633,0.2
0.03140524987735749,0.2100159624955713,0.2667709244176373,0.0,0.9267459831446122,0.04220035015114542,0.3995404953668493,1.4945325141190635,1.0949920187522142,0.21000000000000002
0.030213661211000116,0.220016722614408,0.2830456204055571,0.0,0.9294052155853885,0.04011302730859891,0.41855966259478483,1.5085513012875809,1.089991638692796,0.22
0.029067979876460093,0.23001748273324474,0.29974207534289643,0.0,0.9319595695940853,0.03811697760302681,0.4375782896721931,1.5225695483055706,1.0849912586333774,0.23
0.027966864200554324,0.24001824285208148,0.31687695326601334,0.0,0.9344125200259683,0.03620902307503969,0.4565963840424463,1.5365872626164054,1.0799908785739591,0.24000000000000002
0.026908988290212085,0.25001900297091817,0.33446780704543416,0.0,0.9367674603001249,0.034386062076625486,0.4756139531465475,1.5506044516610884,1.0749904985145409,0.25
0.025893043104106554,0.26001976308975494,0.3525331384484371,0.0,0.9390277030095528,0.032645068706076696,0.4946310044231566,1.564621122878279,1.0699901184551224,0.26
0.0249177374499717,0.27002052320859166,0.3710924631387985,0.0,0.9411964805744245,0.030983092199795205,0.5136475453086166,1.5786372837043205,1.0649897383957039,0.27
0.02398179890861387,0.28002128332742837,0.3901663810937596,0.0,0.9432769459363459,0.029397256283150968,0.5326635832369806,1.5926529415732662,1.0599893583362856,0.28
0.023083974685817677,0.29002204344626514,0.40977665297235766,0.0,0.945272173291495,0.027884758482514475,0.5516791256400386,1.6066681039169057,1.054988978276867,0.29000000000000004
0.02222303239351801,0.30002280356510186,0.42994628303032517,0.0,0.9471851588605719,0.02644286940052687,0.5706941799473428,1.620682778164792,1.049988598217449,0.30000000000000004
0.02139776076176654,0.3100235636839385,0.45069960924577557,0.0,0.9490188216935513,0.02506893195661635,0.5897087535862354,1.634696971744266,1.0449882181580308,0.31
0.02060697028315975,0.3200243238027753,0.47206240139804306,0.0,0.9507760045072899,0.023760360594716402,0.6087228539818743,1.6487106920804866,1.0399878380986123,0.32
0.019849493791518125,0.330025083921612,0.49406196793069906,0.0,0.9524594745540742,0.022514640460087172,0.6277364885572597,1.6627239465964538,1.0349874580391942,0.33
0.019124186976713774,0.3400258440404487,0.5167272725305075,0.0,0.9540719245192697,0.021329326547090806,0.6467496647332605,1.676736742713036,1.0299870779797755,0.33999999999999997
0.018429928837634366,0.35002660415928544,0.540089061468773,0.0,0.9556159734462674,0.020202042819719334,0.6657623899286405,1.6907490878489977,1.0249866979203572,0.35
0.0177656220753487,0.36002736427812215,0.5641800028823567,0.0,0.957094167686979,0.01913048130662414,0.6847746715600855,1.7047609894210243,1.0199863178609387,0.36
0.01713019342860185,0.3700281243969589,0.5890348393211533,0.0,0.9585089818761809,0.018112401172346793,0.7037865170422287,1.718772454843749,1.0149859378015202,0.37
0.016522593953817583,0.38002888451579564,0.6146905550600364,0.0,0.9598628199280578,0.017145627766402785,0.7227979337876776,1.7327834915297797,1.0099855577421022,0.38
0.015941799251822188,0.39002964463463236,0.6411865598697669,0.0,0.961158016053338,0.016228051651822326,0.7418089292070403,1.7467941068897241,1.0049851776826837,0.39
0.015386809643529935,0.4000304047534691,0.6685648911673209,0.0,0.9623968357954658,0.015357627614706049,0.7608195107089519,1.7608043083322173,0.9999847976232654,0.4
0.014856650296843915,0.41003116487230584,0.6968704367265257,0.0,0.9635814770842974,0.014532373656307955,0.7798296857001001,1.774814103263947,0.9949844175638469,0.41000000000000003
0.014350371307030698,0.4200319249911426,0.7261511804307484,0.0,0.9647140713058522,0.01375036996911321,0.7988394615852527,1.7888234990896812,0.9899840375044285,0.42000000000000004
0.01386704773282175,0.43003268510997933,0.7564584738977371,0.0,0.9657966843866954,0.013009757898334803,0.8178488457672823,1.8028325032122925,0.9849836574450102,0.43000000000000005
