D_vals,π1,π20,π21,Uphi,Un,Ud,m
0.000204241242067218,0.10000760118836728,0.11112603204481651,0.0,0.19001793033134368,1.34001412973716,1.1499961994058163,0.1
0.00020528297299511248,0.110008361307204,0.12361223783428044,0.0,0.20901973424747522,1.3540155535938732,1.144995819346398,0.11
0.00020627104241019667,0.12000912142604074,0.13638224821600275,0.0,0.22802153981189333,1.368016979098873,1.1399954392869796,0.12000000000000001
0.00020720538915892011,0.13000988154487747,0.14944585027462728,0.0,0.2470233469419876,1.3820184061695489,1.1349950592275613,0.13
0.00020808602975733422,0.14001064166371419,0.16281328634827186,0.0,0.2660251555551476,1.3960198347232904,1.1299946791681428,0.14
0.00020891305625053385,0.15001140178255093,0.17649528081053945,0.0,0.2850269655687629,1.4100212646774875,1.1249942991087245,0.15000000000000002
0.00020968663409191122,0.16001216190138765,0.19050306876570267,0.0,0.3040287769002229,1.424022695949529,1.119993919049306,0.16
0.00021040700004239097,0.1700129220202244,0.2048484268184296,0.0,0.3230305894669169,1.4380241284568045,1.1149935389898875,0.17
0.00021107446008981703,0.18001368213906108,0.21954370609516113,0.0,0.342032403186234,1.4520255621167033,1.1099931589304692,0.18
0.00021168938738865467,0.19001444225789782,0.23460186771174638,0.0,0.3610342179755638,1.4660269968466149,1.104992778871051,0.19
0.00021225222022016848,0.20001520237673456,0.25003652090140255,0.0,0.38003603375229517,1.4800284325639277,1.0999923988116325,0.2
0.0002127634599732393,0.2100159624955713,0.26586196403874907,0.0,0.39903785043381734,1.4940298691860314,1.094992018752214,0.21000000000000002
0.00021322366914597533,0.220016722614408,0.2820932288198433,0.0,0.4180396679375192,1.5080313066303153,1.0899916386927961,0.22
0.00021363346936827918,0.23001748273324474,0.29874612788515637,0.0,0.43704148618078975,1.5220327448141673,1.0849912586333774,0.23
0.00021399353944553305,0.24001824285208148,0.31583730620263445,0.0,0.4560433050810181,1.5360341836549773,1.0799908785739594,0.24000000000000002
0.00021430461342356104,0.25001900297091817,0.33338429656182,0.0,0.47504512455559283,1.5500356230701335,1.0749904985145406,0.25
0.0002145674786750366,0.26001976308975494,0.3514055795679609,0.0,0.49404694452190306,1.5640370629770257,1.0699901184551226,0.26
0.00021478297400750424,0.27002052320859166,0.36992064856765283,0.0,0.5130487648973375,1.5780385032930415,1.0649897383957039,0.27
0.0002149519877931868,0.28002128332742837,0.38895007998552533,0.0,0.5320505855992849,1.5920399439355706,1.0599893583362858,0.28
0.0002150754561207605,0.29002204344626514,0.40851560960550914,0.0,0.551052406545134,1.6060413848220014,1.0549889782768673,0.29000000000000004
0.00021515436096927905,0.30002280356510186,0.42864021539120634,0.0,0.5700542276522734,1.6200428258697226,1.0499885982174493,0.30000000000000004
0.00021518972840444003,0.3100235636839385,0.4493482075088277,0.0,0.5890560488380919,1.6340442669961224,1.0449882181580303,0.31
0.00021518262679739175,0.3200243238027753,0.4706653262942162,0.0,0.6080578700199782,1.6480457081185904,1.0399878380986123,0.32
0.00021513416506628672,0.330025083921612,0.49261884899403297,0.0,0.6270596911153209,1.6620471491545148,1.0349874580391938,0.33
0.00021504549094079827,0.3400258440404487,0.5152377062118052,0.0,0.6460615120415084,1.676048590021284,1.0299870779797757,0.33999999999999997
0.00021491778924982193,0.35002660415928544,0.5385526091040977,0.0,0.6650633327159295,1.6900500306362867,1.0249866979203572,0.35
0.00021475228023260014,0.36002736427812215,0.5625961885027396,0.0,0.684065153055973,1.704051470916912,1.0199863178609387,0.36
0.00021455021787351237,0.3700281243969589,0.5874031472883879,0.0,0.7030669729790273,1.7180529107805478,1.0149859378015205,0.37
0.00021431288826078494,0.38002888451579564,0.6130104275117269,0.0,0.7220687924024807,1.7320543501445829,1.0099855577421022,0.38
0.00021404160796939243,0.39002964463463236,0.6394573939548668,0.0,0.7410706112437222,1.7460557889264061,1.004985177682684,0.39
0.00021373772246842637,0.4000304047534691,0.6667860360512076,0.0,0.7600724294201403,1.7600572270434056,0.9999847976232653,0.4
0.000213402604553226,0.41003116487230584,0.6950411903421725,0.0,0.7790742468491232,1.7740586644129703,0.9949844175638471,0.41000000000000003
0.00021303765280257254,0.4200319249911426,0.7242707859497224,0.0,0.7980760634480599,1.7880601009524888,0.9899840375044289,0.42000000000000004
0.00021264429006127045,0.43003268510997933,0.7545261158915291,0.0,0.817077879134339,1.8020615365793495,0.9849836574450105,0.43000000000000005
0.0002122239619484462,0.44003344522881604,0.7858621374695758,0.0,0.8360796938253491,1.816062971210941,0.979983277385592,0.44000000000000006
0.00021177813539191066,0.4500342053476528,0.8183378054329558,0.0,0.8550815074384788,1.8300644047646522,0.9749828973261734,0.45000000000000007
0.0002113082971889506,0.4600349654664894,0.8520164421639658,0.0,0.8740833198911164,1.8440658371578718,0.9699825172667553,0.45999999999999996
0.0002108159525939255,0.47003572558532614,0.8869661497780745,0.0,0.8930851311006512,1.8580672683079884,0.9649821372073372,0.47
0.0002103026239330629,0.4800364857041629,0.9232602697808361,0.0,0.9120869409844717,1.8720686981323902,0.9599817571479184,0.48
0.00020976984924686313,0.4900372458229996,0.9609778968101487,0.0,0.9310887494599668,1.886070126548467,0.9549813770885002,0.49
0.0002092225332143557,0.5000380059418363,1.0,0.00020442295744551095,0.95003944682052,1.9000204438496018,0.9499809970290818,0.5
0.00020931168529543366,0.5100387660606731,1.0,0.039417112585081716,0.9590402341232505,1.904020851092914,0.9449806169696635,0.51
0.0002093854896258657,0.5200395261795099,1.0,0.07712161729288228,0.9680410209527925,1.9080212578630376,0.939980236910245,0.52
