mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,S,I,D,Un,Uphi,Un-Uphi
0.1,3.8130784633e-08,0.11111955619,0.43470544595,5.4893452174e-08,0.20002295134,0.10001707815,0.86882353208,1.0987036241e-35,0.0018102352573,1.3400160906057588,0.1955757260181332,1.1444403645876255
0.11,3.5193349392e-08,0.12360489935,0.4363070714,5.1327924719e-08,0.22002522292,0.11001905507,0.8743938558,1.3163726877e-35,0.0017333647899,1.3540176783299689,0.21581999307792,1.1381976852520488
0.12000000000000001,3.2819983649e-08,0.13637400029,0.43770749241,4.848389496e-08,0.24002749614,0.12002109597,0.87976594598,1.5624741513e-35,0.0016592299455,1.36801926763071,0.2362061389657553,1.1318131286649546
0.13,3.0883667153e-08,0.14943664375,0.43902273371,4.6203511315e-08,0.26002977063,0.13002320604,0.88494367738,1.8376639194e-35,0.0015877772521,1.3820208581498223,0.2567390560447369,1.1252818021050854
0.14,2.9296204577e-08,0.16280306959,0.44015943621,4.4374741796e-08,0.28003204613,0.14002539104,0.88993098379,2.1420132498e-35,0.0015189524237,1.39602244963463,0.27742386424357235,1.1185985853910578
0.15000000000000002,2.7985606184e-08,0.17648399954,0.44141552061,4.2916172097e-08,0.30003432245,0.15002765738,0.89473185132,2.4749388808e-35,0.0014527004517,1.4100240418979308,0.2982659244175761,1.1117581174803548
0.16,2.6909577133e-08,0.19049066589,0.44240120899,4.1767512658e-08,0.32003659944,0.16003001223,0.89935031187,2.8351520256e-35,0.0013889656962,1.424025634797235,0.31927085270580996,1.1047547820914252
0.17,2.6064239104e-08,0.20483484223,0.44315662436,4.088346495e-08,0.34003887698,0.17003246365,0.9037904366,3.2206301456e-35,0.0013276919749,1.4380272282370772,0.34044453589986345,1.0975826923372138
0.18,2.5378563444e-08,0.2195288765,0.44067891113,4.0229642786e-08,0.360041155,0.18003502066,0.90805632961,3.6286144006e-35,0.0012688226514,1.4520288221056248,0.36179314795701284,1.0902356741486119
0.19,2.4745912607e-08,0.2345857264,0.44491901328,3.9811967918e-08,0.38004343353,0.19003769341,0.91215212156,4.0556344381e-35,0.0012123007225,1.466030416411959,0.38332316768848806,1.082707248723471
0.2,2.4318345117e-08,0.25001899751,0.44562975593,3.951384325e-08,0.40004571227,0.20004049366,0.91608196361,4.4975607964e-35,0.0011580689022,1.4800320109693224,0.40504139796944716,1.0749906129998752
0.21000000000000002,2.4068187959e-08,0.26584298428,0.4411123386,3.9416571104e-08,0.42004799137,0.21004343444,0.91985002131,4.9496837605e-35,0.0011060697059,1.4940336058532306,0.4269549859317587,1.067078619921472
0.22,2.3982374054e-08,0.28207271422,0.43666999074,3.9476581271e-08,0.44005027076,0.22004653085,0.9234604688,5.4068161286e-35,0.0010562455306,1.5080352010267233,0.4490714453379651,1.0589637556887581
0.23,2.3925472852e-08,0.29872399556,0.43466333282,3.968561357e-08,0.46005255044,0.23004980011,0.92691748305,5.8634160871e-35,0.0010085387339,1.5220367964308539,0.47139868029336207,1.0506381161374918
0.24000000000000002,2.3961237395e-08,0.31581346846,0.4323564417,4.003802086e-08,0.48005483036,0.24005326218,0.93022523835,6.3137253771e-35,0.00096289171083,1.5360383920449299,0.4939450108659668,1.042093381178963
0.25,2.4048862822e-08,0.33335866058,0.43212289906,4.0530402246e-08,0.50005711051,0.25005694016,0.93338790088,6.7519171879e-35,0.00091924696781,1.5500399878515534,0.5167192008619025,1.033320786989651
0.26,2.4206469873e-08,0.35137804702,0.4313991365,4.1161316344e-08,0.52005939088,0.26006086102,0.93640962362,7.1722477948e-35,0.00087754719399,1.5640415838368975,0.5397304878145535,1.024311096022344
0.27,2.4182699076e-08,0.36989111529,0.44874363891,4.1931140331e-08,0.54006167151,0.27006505629,0.93929454128,7.5692058836e-35,0.00083773533028,1.5780431800131516,0.5629886154426159,1.0150545645705358
0.28,2.476788222e-08,0.38891843519,0.43266477103,4.2841905756e-08,0.56006395225,0.28006956385,0.94204676554,7.9376537468e-35,0.00079975463561,1.5920447763456367,0.58650386869358,1.0055409076520567
0.29000000000000004,2.5247912256e-08,0.4084817359,0.42855088848,4.3897257955e-08,0.58006623322,0.29007442782,0.94467038043,8.2729551024e-35,0.00076354875006,1.6060463728397187,0.6102871120689666,0.9957592607707522
0.30000000000000004,2.5375209495e-08,0.42860398814,0.44944980474,4.5102411285e-08,0.60006851441,0.3000797014,0.947169438,8.5710850562e-35,0.00072906175565,1.6200479694718182,0.6343498308682843,0.9856981386035338
0.31,2.5939607422e-08,0.44930949381,0.45170458947,4.6465572e-08,0.62007079581,0.31008544985,0.94954795405,8.8287187386e-35,0.00069623823408,1.634049566309058,0.6587041760855198,0.9753453902235382
0.32,2.6588471653e-08,0.47062398482,0.45096625596,4.7994808235e-08,0.64007307742,0.32009175194,0.95180990425,9.0432962346e-35,0.00066502332137,1.6480511632910353,0.6833630135952892,0.9646881496957461
0.33,2.7315965529e-08,0.49257472916,0.44967925863,4.9694162526e-08,0.66007535908,0.33009870554,0.9539592203,9.2130625597e-35,0.00063536275988,1.6620527603124433,0.7083399774314153,0.953712782881028
