D_vals,π1,π2,S3,I3,Uphi,Un,Ud,m
0.001958157078592199,0.10009754188485434,0.10028905356839533,0.8948086138164663,0.0633879373375902,0.1853000438896245,1.3352512729471973,1.1499512290575726,0.1
0.001887003538813524,0.11010729607333977,0.11031537468588945,0.8985533774029331,0.060473383587171865,0.20327625375714,1.34822260572047,1.14494635196333,0.11
0.0018185273032357736,0.12011705026182522,0.12034124737198938,0.9021526184568855,0.0576848364480614,0.2211518156450068,1.361093290514094,1.1399414748690873,0.12000000000000001
0.00175264300766457,0.13012680445031066,0.13036667698104298,0.9056115605832862,0.05501748052415852,0.23892673968592834,1.373863337460773,1.1349365977748447,0.13
0.0016892669264439416,0.1401365586387961,0.1403916688664317,0.9089352710341159,0.05246665028779109,0.25660103590480793,1.3865327565854098,1.1299317206806019,0.14
0.0016283170095601224,0.15014631282728153,0.15041622838058005,0.9121286638206112,0.050027827019338535,0.27417471421877865,1.3991015578051378,1.124926843586359,0.15000000000000002
0.0015697129143539621,0.16015606701576696,0.1604403608749653,0.9151965028362594,0.0476966357361553,0.29164778443723366,1.41156975092935,1.1199219664921165,0.16
0.0015133760320757376,0.1701658212042524,0.17046407170012698,0.9181434049861318,0.0454688421152179,0.30902025626185536,1.4239373456597293,1.114917089397874,0.17
0.0014592295095193699,0.18017557539273782,0.1804873662056764,0.9209738433183554,0.043340349413690624,0.3262921392866451,1.436204351590276,1.109912212303631,0.18
0.0014071982659751283,0.19018532958122325,0.19051024974030648,0.9236921501537529,0.04130719539138217,0.34346344299795173,1.44837077820734,1.1049073352093883,0.19
0.0013572090057404323,0.20019508376970868,0.2005327276518009,0.9263025202098941,0.03936554923885159,0.36053417677450084,1.4604366348896463,1.0999024581151455,0.2
0.0013091902264279517,0.21020483795819414,0.210554805287044,0.9288090137160042,0.037511708514713436,0.37750434988742265,1.4724019309083256,1.094897581020903,0.21000000000000002
0.0012630722233086136,0.22021459214667954,0.22057648799203022,0.9312155595153875,0.03574209609549136,0.39437397150028064,1.484266675426941,1.0898927039266604,0.22
0.001218787089924669,0.230224346335165,0.23059778111187365,0.9335259581522004,0.034053257141175935,0.4111430506690993,1.4960308775015168,1.0848878268324174,0.23
0.0011762687152044912,0.24023410052365043,0.24061868999081765,0.9357438849396161,0.032441856079454365,0.42781159634239124,1.507694546080566,1.0798829497381748,0.24000000000000002
0.001135452777306729,0.25024385471213584,0.2506392199722442,0.9378728930065872,0.030904673611399276,0.4443796173611853,1.5192576900051171,1.0748780726439318,0.25
0.001096276734416493,0.2602536089006213,0.26065937639868375,0.9399164163205975,0.029438603741228496,0.46084712245905274,1.530720318008742,1.0698731955496894,0.26
0.001058679812710904,0.27026336308910676,0.2706791646118246,0.9418777726839554,0.028040650832580023,0.47721412026213444,1.542082438717581,1.0648683184554466,0.27
0.0010226029917053143,0.2802731172775922,0.2806985899525222,0.9437601667013542,0.026707926693583267,0.49348061928916714,1.553344060650371,1.0598634413612038,0.28
0.0009879889871851114,0.2902828714660776,0.29071765776080927,0.9455666927165673,0.02543764769285104,0.5096466279515095,1.5645051922184705,1.054858564266961,0.29000000000000004
0.0009547822319213777,0.30029262565456305,0.30073637337590475,0.9473003377163096,0.024227131908365878,0.5257121545531682,1.5755658417258864,1.0498536871727182,0.30000000000000004
0.0009229288543614202,0.3103023798430485,0.3107547421362235,0.9489639841994348,0.02307379631108912,0.541677207290823,1.5865260173692988,1.0448488100784759,0.31
0.0008923766554781588,0.3203121340315339,0.3207727693793863,0.9505604130097817,0.021975153984980816,0.5575417942538529,1.5973857272380858,1.0398439329842328,0.32
0.0008630750839546956,0.33032188822001934,0.3307904604422284,0.9520923061311142,0.020928811384984022,0.5733059234243597,1.60814497931435,1.0348390558899903,0.33
0.000834975209872994,0.3403316424085047,0.3408078206608099,0.953562249442734,0.01993246563439789,0.5889696026771942,1.6188037814729417,1.0298341787957475,0.33999999999999997
0.0008080296970678574,0.35034139659699015,0.35082485537042507,0.9549727354344599,0.018983901862938666,0.6045328397799797,1.6293621414814847,1.024829301701505,0.35
0.0007821927742998415,0.36035115078547564,0.3608415699056115,0.9563261658798032,0.018080990586669354,0.6199956423931364,1.6398200670003984,1.019824424607262,0.36
0.0007574202053930515,0.37036090497396107,0.37085796960015993,0.9576248544662642,0.017221685130862814,0.6353580180699047,1.6501775655829238,1.014819547513019,0.37
0.0007336692584762415,0.3803706591624465,0.38087405978712385,0.9588710293818017,0.01640401909675375,0.6506199742563697,1.6604346446751463,1.0098146704187765,0.38
0.0007108986744581801,0.39038041335093193,0.39088984579882874,0.9600668358566218,0.01562610387302923,0.665781518291484,1.670591311616018,1.004809793324534,0.39
0.0006890686348608241,0.40039016753941736,0.40090533296688136,0.9612143386595395,0.014886126192805962,0.6808426574070899,1.6806475736373812,0.9998049162302912,0.4
0.0006681407291267275,0.41039992172790285,0.41092052662218015,0.9623155245482613,0.01418234573674608,0.6958033987279438,1.6906034378639925,0.9948000391360486,0.41000000000000003
0.0006480779215099785,0.4204096759163883,0.42093543209492357,0.9633723046730286,0.013513092782870108,0.7106637492717367,1.7004589113135424,0.9897951620418057,0.42000000000000004
0.0006288445176531489,0.4304194301048737,0.4309500547146207,0.9643865169331531,0.0128767659035373,0.7254237159491173,1.7102140008966804,0.9847902849475632,0.43000000000000005
0.0006104061309460555,0.44042918429335914,0.4409643998100997,0.9653599282860618,0.012271829709978869,0.7400833055637143,1.7198687134170345,0.9797854078533202,0.44000000000000006
