D_vals,π1,π20,π21,S3,I3,Uphi,Un,Ud,m
0.0018477781417456543,0.10000760118836728,0.11113748957165463,0.0,0.892024570461219,0.07039798893701646,0.19002514851228813,1.3400213479181042,1.149996199405816,0.1
0.0017746390721299812,0.110008361307204,0.12362470927425337,0.0,0.8962429375039106,0.06697989354119407,0.2090275038815841,1.354023323227982,1.1449958193463978,0.11
0.00170416740364005,0.12000912142604074,0.13639570935039255,0.0,0.9002977885014095,0.06370522598013353,0.22802983178472813,1.3680252710717078,1.1399954392869796,0.12000000000000001
0.0016362962279402675,0.13000988154487747,0.14946027681344914,0.0,0.9041942904395813,0.060569267254640714,0.24703213260434057,1.3820271918319018,1.1349950592275613,0.13
0.0015709586596547272,0.14001064166371419,0.16282865392694923,0.0,0.9079375038986308,0.05756739703640434,0.2660344067230358,1.3960290858911786,1.1299946791681428,0.14
0.0015080879349591992,0.15001140178255093,0.17651156498638332,0.0,0.9115323829479545,0.0546950938403917,0.285036654523422,1.4100309536321465,1.1249942991087245,0.15000000000000002
0.001447617506100272,0.16001216190138765,0.19052024501418172,0.0,0.9149837751510167,0.05194793508731071,0.30403887638810145,1.4240327954374075,1.119993919049306,0.16
0.0013894811317357858,0.1700129220202244,0.20486647052921572,0.0,0.918296421675436,0.04932159706095044,0.32304107269967075,1.4380346116895586,1.114993538989888,0.17
0.0013336129630124294,0.18001368213906108,0.21956259256793367,0.0,0.9214749575035927,0.04681185476508735,0.3420432438407203,1.4520364027711898,1.1099931589304695,0.18
0.00127994762531755,0.19001444225789782,0.2346215721517377,0.0,0.9245239117391981,0.044414581684522066,0.36104539019383525,1.4660381690648863,1.104992778871051,0.19
0.0012284202956626055,0.20001520237673456,0.25005701841466543,0.0,0.9274477080053731,0.04212574945469213,0.38004751214159477,1.4800399109532276,1.099992398811633,0.2
0.0011789667756749978,0.2100159624955713,0.2658832296271241,0.0,0.9302506649299168,0.03994142744418624,0.39904961006657236,1.4940416288187865,1.0949920187522142,0.21000000000000002
0.0011315235601935824,0.220016722614408,0.2821152373756041,0.0,0.9329369967135489,0.0378577822543709,0.4180516843513362,1.5080433230441321,1.089991638692796,0.22
0.0010860279014805042,0.23001748273324474,0.29876885418530785,0.0,0.9355108137770336,0.035871077140225444,0.4370537353784489,1.5220449940118264,1.0849912586333774,0.23
0.0010424178690782708,0.24001824285208148,0.3158607249028346,0.0,0.9379761234832018,0.03397767135636977,0.45605576353046784,1.536046642104427,1.0799908785739591,0.24000000000000002
0.0010006324053561198,0.25001900297091817,0.333408382189898,0.0,0.9403368309299913,0.0321740194321584,0.4750577691899448,1.5500482677044856,1.0749904985145409,0.25
0.0009606113768036959,0.26001976308975494,0.3514303065169959,0.0,0.9425967398107471,0.03045667037960706,0.4940597527394266,1.5640498711945492,1.0699901184551226,0.26
0.0009222956211427928,0.27002052320859166,0.3699459910885804,0.0,0.9447595533381142,0.02882226683781182,0.5130617145614547,1.5780514529571588,1.064989738395704,0.27
0.0008856269903395046,0.28002128332742837,0.38897601217922934,0.0,0.9468288752279768,0.0272675441574162,0.5320636550385652,1.5920530133748512,1.0599893583362858,0.28
0.0008505483896094815,0.29002204344626514,0.408542105414357,0.0,0.9488082107399777,0.025789329428579984,0.5510655745532901,1.6060545528301575,1.0549889782768673,0.29000000000000004
0.0008170038125182519,0.30002280356510186,0.42866724858998007,0.0,0.9507009677712763,0.024384540455803377,0.5700674734881553,1.6200560717056043,1.0499885982174488,0.30000000000000004
0.0007849383722865866,0.3100235636839385,0.4493757516949977,0.0,0.9525104580002828,0.023050184682861227,0.5890693522256824,1.634057570383713,1.0449882181580308,0.31
0.000754298329417927,0.3200243238027753,0.4706933548774995,0.0,0.9542398980772135,0.021783358071006585,0.6080712111483879,1.6480590492470002,1.0399878380986123,0.32
0.000725031115770739,0.330025083921612,0.49264733518517334,0.0,0.9558924108583993,0.02058124393350736,0.627073050638784,1.662060508677978,1.034987458039194,0.33
0.0006970853552036175,0.3400258440404487,0.5152666230105023,0.0,0.9574710266813795,0.019441111729488335,0.6460748710793777,1.6760619490591533,1.0299870779797757,0.33999999999999997
0.0006704108809248486,0.35002660415928544,0.5385819292860077,0.0,0.9589786846778992,0.018360315819959228,0.6650766728526715,1.6900633707730286,1.0249866979203572,0.35
0.000644958749681172,0.36002736427812215,0.5626258846054614,0.0,0.9604182341220135,0.01733629418882103,0.6840784563411637,1.7040647742021025,1.0199863178609387,0.36
0.000620681252922674,0.3700281243969589,0.5874331915963359,0.0,0.9617924358106013,0.016366567131555897,0.7030802219273478,1.718066159728868,1.0149859378015202,0.37
0.0005975319250820612,0.38002888451579564,0.6130407920397846,0.0,0.9631039634736612,0.01544873591422031,0.7220819699937125,1.7320675277358146,1.0099855577421022,0.38
0.0005754655491072545,0.39002964463463236,0.6394880504307001,0.0,0.9643554052118579,0.014580481405278251,0.7410837009227431,1.7460688786054268,1.0049851776826837,0.39
0.0005544381593861537,0.4000304047534691,0.6668169558961049,0.0,0.9655492649588625,0.01375956268272912,0.7600854150969198,1.7600702127201853,0.9999847976232654,0.4
0.0005344070422017794,0.41003116487230584,0.6950723446502594,0.0,0.9666879639661103,0.012983815618905725,0.7790871128987191,1.774071530462566,0.9949844175638469,0.41000000000000003
0.0005153307338547901,0.4200319249911426,0.7243021454653866,0.0,0.9677738423076832,0.01225115144523901,0.7980887947106131,1.7880728322150417,0.9899840375044285,0.42000000000000004
