,m,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S3,I3,D_vals,Uphi,Un,Ud
0,0.1,0.7017172791846567,0,5.551115123125783e-17,-0.1131098156033481,0.1583537418446875,0.0,0.2714635574480357,0.0,0.0,0.0,0.8868422803993955,0.07444969572816747,0.0021248926131167255,0.190024490213625,1.3900244902136247,1.1999999999999997
1,0.11,0.7096025103532145,0,-1.1102230246251565e-16,-0.12442066261620077,0.17418892766268113,0.0,0.29860959027888206,0.0,0.0,0.0,0.8908073076080931,0.07121974366922726,0.002050089289143644,0.20902671319521743,1.4090267131952174,1.2
2,0.12000000000000001,0.7176669428506988,0,-5.551115123125783e-17,-0.13573148676818114,0.19002408147545352,0.0,0.32575556824363466,0.0,0.0,0.0,0.8946467226741588,0.06810256135050936,0.00197739018932666,0.22802889777054425,1.4280288977705442,1.2
3,0.13,0.7259167560332953,0,1.6653345369377348e-16,-0.147042288459851,0.2058592038437917,0.0,0.35290149230364276,0.0,0.0,0.0,0.898363380825208,0.06509540346710085,0.001906769090828151,0.24703104461255004,1.4470310446125498,1.1999999999999997
4,0.14,0.7343584166691057,0,5.551115123125783e-17,-0.15835306809176908,0.22169429532847668,0.0,0.3800473634202457,0.0,0.0,0.0,0.9019601077353491,0.06219555435183362,0.0018381988021159777,0.266033154394172,1.466033154394172,1.2
5,0.15000000000000002,0.7429986958447303,0,5.551115123125783e-17,-0.16966382606448804,0.23752935649028362,0.0,0.4071931825547719,0.0,0.0,0.0,0.9054396988750898,0.059400328625378675,0.0017716512111144705,0.28503522778834034,1.48503522778834,1.1999999999999997
6,0.16,0.7518446870794646,0,0.0,-0.1809745627785584,0.2533643878899817,0.0,0.4343389506685401,0.0,0.0,0.0,0.908804918891901,0.056707071815680764,0.001707097334344407,0.30403726546797805,1.5040372654679781,1.2000000000000002
7,0.17,0.760903825748956,0,-1.6653345369377348e-16,-0.19228527863452483,0.26919939008833443,0.0,0.4614846687228592,0.0,0.0,0.0,0.912058501020979,0.054113160947197744,0.001644507366908473,0.3230392681060014,1.5230392681060012,1.1999999999999997
8,0.18,0.7701839099301024,0,-5.551115123125783e-17,-0.20359597403292806,0.28503436364609946,0.0,0.48863033767902775,0.0,0.0,0.0,0.9152031465257394,0.051616005100406114,0.00158385073317731,0.3420412363753194,1.5420412363753193,1.2
9,0.19,0.7796931227900197,0,1.1102230246251565e-16,-0.21490664937430637,0.300869309124029,0.0,0.5157759584983354,0.0,0.0,0.0,0.9182415241675859,0.049213045942031894,0.0015250961380306326,0.3610431709488348,1.5610431709488348,1.2
10,0.2,0.7894400566541789,0,1.1102230246251565e-16,-0.22621730505919224,0.31670422708286916,0.0,0.5429215321420614,0.0,0.0,0.0,0.9211762697044977,0.04690175822646377,0.0014682116185082128,0.380045072499443,1.580045072499443,1.2
11,0.21000000000000002,0.7994337389025058,0,1.1102230246251565e-16,-0.23752794148811485,0.332539118083361,0.0,0.570067059571476,0.0,0.0,0.0,0.924009985417981,0.04467965026880132,0.0014131645957265382,0.39904694170003324,1.599046941700033,1.1999999999999997
12,0.22,0.8096836598574858,0,0.0,-0.24883855906160002,0.3483739826862398,0.0,0.5972125417478398,0.0,0.0,0.0,0.9267452396679339,0.042544264389989754,0.001359921926918851,0.4180487792234878,1.6180487792234879,1.2000000000000002
13,0.23,0.8201998028453705,0,0.0,-0.26014915818016826,0.3642088214522357,0.0,0.6243579796324041,0.0,0.0,0.0,0.9293845664749778,0.04049317733448942,0.0013084499574587817,0.43705058574268285,1.6370505857426827,1.1999999999999997
14,0.24000000000000002,0.8309926766306348,0,-1.1102230246251565e-16,-0.2714597392443381,0.3800436349420732,0.0,0.6515033741864114,0.0,0.0,0.0,0.931930465129807,0.03852400066092502,0.0012587145727311845,0.4560523619304879,1.6560523619304877,1.1999999999999997
15,0.25,0.8420733504451924,0,0.0,-0.28277030265462266,0.3958784237164718,0.0,0.6786487263710945,0.0,0.0,0.0,0.9343853998291183,0.036634381106157625,0.0012106812497175927,0.47505410845976614,1.6750541084597659,1.1999999999999997
16,0.26,0.8534534918578173,0,1.1102230246251565e-16,-0.2940808488115323,0.41171318833614556,0.0,0.7057940371476781,0.0,0.0,0.0,0.936751799337675,0.034822000923218834,0.0011643151081683325,0.4940558260033747,1.6940558260033745,1.1999999999999997
17,0.27,0.86514540775612,0,2.220446049250313e-16,-0.3053913781155737,0.42754792936180347,0.0,0.7329393074773772,0.0,0.0,0.0,0.9390320566760748,0.03308457819354426,0.0011195809612383964,0.5130575152341642,1.713057515234164,1.1999999999999997
18,0.28,0.8771620887436903,0,0.0,-0.31670189096724966,0.4433826473541495,0.0,0.7600845383213992,0.0,0.0,0.0,0.9412285288337816,0.031419867113940486,0.0010764433654697149,0.5320591768249794,1.7320591768249793,1.2
19,0.29000000000000004,0.8895172572891078,0,-2.220446049250313e-16,-0.3280123877670591,0.4592173428738825,0.0,0.7872297306409417,0.0,0.0,0.0,0.9433435365069958,0.029825658258716508,0.001034866670008526,0.5510608114486591,1.751060811448659,1.1999999999999997
20,0.30000000000000004,0.9022254200020147,0,-2.220446049250313e-16,-0.3393228689154977,0.47505201648169654,0.0,0.8143748853971944,0.0,0.0,0.0,0.9453793638609287,0.028299778817408097,0.0009948150649528376,0.5700624197780361,1.770062419778036,1.1999999999999997
21,0.31,0.9153019244549303,0,0.0,-0.3506333348130577,0.49088666873828074,0.0,0.8415200035513385,0.0,0.0,0.0,0.947338258316059,0.026840092808520583,0.0009562526287317288,0.5890640024859369,1.7890640024859368,1.1999999999999997
22,0.32,0.9287630210187582,0,0.0,-0.36194378586022813,0.5067213002043193,0.0,0.8686650860645474,0.0,0.0,0.0,0.9492224303579515,0.025444501269712413,0.0009191433744251123,0.6080655602451831,1.8080655602451832,1.2000000000000002
23,0.33,0.9426259302357985,0,0.0,-0.3732542224574942,0.5225559114404917,0.0,0.8958101338979859,0.0,0.0,0.0,0.9510340533702109,0.024110942424839098,0.0008834512949397,0.6270670937285902,1.82706709372859,1.1999999999999997
24,0.33999999999999997,0.9569089163175819,0,2.220446049250313e-16,-0.3845646450053377,0.5383905030074728,0.0,0.9229551480128104,0.0,0.0,0.0,0.9527752634901623,0.02283739182827421,0.0008491404069641891,0.6460686036089675,1.8460686036089673,1.1999999999999997
25,0.35,0.9716313674271182,0,-2.220446049250313e-16,-0.39587505390423816,0.5542250754659329,0.0,0.950100129370171,0.0,0.0,0.0,0.9544481594868387,0.021621862486920863,0.0008161747936339727,0.6650700905591196,1.8650700905591195,1.2
26,0.36,0.9868138834876048,0,-1.1102230246251565e-16,-0.40718544955467006,0.5700596293765378,0.0,0.9772450789312078,0.0,0.0,0.0,0.9560548026608694,0.02046240496032445,0.0007845186458430187,0.6840715552518455,1.8840715552518454,1.2
27,0.37,1,0,0.006968411291021104,-0.41256460956720886,0.587346229201522,0.0,1.0,0.0002160678941491013,0.0,0.0,0.9576097182204417,0.01934460598470924,0.0007538591420937359,0.7048778879037148,1.9,1.1951221120962852
28,0.38,1,0,0.050863916016886446,-0.38695737950822395,0.6129498137351542,0.0,1.0,0.00023977964593555496,0.0,0.0,0.959165897150575,0.0182155866037065,0.0007230259726639263,0.7356047412118205,1.9,1.1643952587881794
29,0.39,1,0,0.09619860471723607,-0.3605105810376028,0.6393928600567744,0.0,1.0,0.00026776759228341207,0.0,0.0,0.9606593577665876,0.01713944061488553,0.0006934431839489654,0.7673390233020652,1.9,1.1326609766979348
30,0.4,1,0,0.1430444365908332,-0.3331822357347254,0.6667173412557819,0.0,1.0,0.000301314835494919,0.0,0.0,0.9620917543279282,0.016114625955923775,0.0006650822141678811,0.8001311056135832,1.9,1.0998688943864168
31,0.41000000000000003,1,0,0.1914782494261873,-0.30492751918435257,0.6949680760547556,0.0,1.0,0.00034227486599234744,0.0,0.0,0.9634647255343591,0.015139616208422243,0.0006379143051983778,0.8340347745983311,1.9,1.0659652254016687
32,0.42000000000000004,1,0,0.2415821801696365,-0.27569851563226355,0.7241929741226597,0.0,1.0,0.000393428139590135,0.0,0.0,0.9647798942369501,0.014212900886913706,0.000611910533797915,0.8691075261187455,1.9,1.0308924738812544
33,0.43000000000000005,1,0,0.2934441297637522,-0.24544394681516946,0.7544433072104901,0.0,1.0,0.000459144375417225,0.0,0.0,0.9660388671527563,0.013332985724181894,0.0005870418424682231,0.9054108908346264,1.9,0.9945891091653735
34,0.44000000000000006,1,0,0.34715827778986186,-0.21410887173668947,0.7857740093371716,0.0,1.0,0.000546707361589027,0.0,0.0,0.9672432345831987,0.0124983929528837,0.0005632790699098628,0.9430107944529033,1.9,0.9569892055470967
35,0.45000000000000007,1,0,0.40282565325338937,-0.1816343536916143,0.8182440097230052,0.0,1.0,0.0006692301320860962,0.0,0.0,0.9683945701361456,0.011707661583466505,0.0005405929810167583,0.9819779572773725,1.9,0.9180220427226274
36,0.45999999999999996,1,0,0.4605547687897893,-0.14795709029286863,0.8519166027157211,0.0,1.0,0.0008529449872606878,0.0,0.0,0.9694944304517077,0.01095934767837222,0.0005189542963640619,1.0223883381528525,1.9,0.8776116618471475
37,0.47,1,0,0.5204623266673822,-0.11300900161472849,0.886859859594955,0.0,1.0,0.001159082796317482,0.0,0.0,0.9705443549317573,0.010252024622520148,0.0004983337211461868,1.0643236286671676,1.9,0.8356763713328323
38,0.48,1,0,0.5826740062520501,-0.07671677081410766,0.9231470878926209,0.0,1.0,0.0017714526299413417,0.0,0.0,0.9715458654731733,0.009584283390060601,0.00047870197352540894,1.107871804376435,1.9,0.7921281956235648
