,m,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S3,I3,D_vals,Uphi,Un,Ud
0,0.1,0.7389346032726686,0,0.0,-0.14822980836162136,0.15037806645381888,0.0,0.2986078748154403,0.0,0,0.0,0.8937902759570581,0.06859955490602387,0.0018153459170444264,0.20902551237080821,1.5990255123708081,1.39
1,0.11,0.7472381122534001,0,0.0,-0.16305259870525735,0.1654156798459133,0.0,0.32846827855117067,0.0,0,0.0,0.8981630110095593,0.06504711950991734,0.001739361450326303,0.22992779498581944,1.6199277949858193,1.39
2,0.12000000000000001,0.7557303269411673,0,0.0,-0.17787535686366018,0.18045326058632208,0.0,0.3583286174499824,0.0,0,0.0,0.9023668383458482,0.061646507680377514,0.0016661449598633531,0.2508300322149877,1.6408300322149874,1.3899999999999997
3,0.13,0.764417754429337,0,-1.1102230246251565e-16,-0.19269808344924977,0.1954908092963402,0.0,0.38818889274558993,0.0,0,0.0,0.9064066834582631,0.0583929598913431,0.0015956347127144901,0.27173222492191296,1.6617322249219129,1.39
4,0.14,0.7733072044667814,0,-1.1102230246251565e-16,-0.20752077907443778,0.2105283265972556,0.0,0.4180491056716934,0.0,0,0.0,0.910287392880317,0.05528179568221547,0.0015277684353042305,0.2926343739701854,1.6826343739701852,1.39
5,0.15000000000000002,0.7824058072611428,0,-1.1102230246251565e-16,-0.2223434443516299,0.2255658131103491,0.0,0.447909257461979,0.0,0,0.0,0.9140137331279079,0.05230841471664844,0.0014624834229296489,0.3135364802233853,1.7035364802233852,1.39
6,0.16,0.7917210325537614,0,-1.1102230246251565e-16,-0.2371660798932247,0.24060326945689453,0.0,0.4777693493501193,0.0,0,0.0,0.9175903897287725,0.0494682977530934,0.001399716646922995,0.3344385445450835,1.7244385445450834,1.39
7,0.17,0.8012607100735111,0,3.3306690738754696e-16,-0.2519886863116134,0.25564069625815905,0.0,0.5076293825697726,0.0,0,0.0,0.9210219663383495,0.046757007528936884,0.001339404859234173,0.35534056779884104,1.7453405677988407,1.3899999999999997
8,0.18,0.8110330514872607,0,1.1102230246251565e-16,-0.26681126421918244,0.2706780941354026,0.0,0.5374893583545851,0.0,0,0.0,0.9243129839402311,0.04417018956004991,0.0012814846942169704,0.3762425508482096,1.7662425508482094,1.3899999999999997
9,0.19,0.8210466739762912,0,0.0,-0.281633814228309,0.285715463709879,0.0,0.5673492779381883,0.0,0,0.0,0.927467880129396,0.041703572857552176,0.0012258927674229448,0.39714449455673184,1.7871444945567316,1.3899999999999997
10,0.2,0.831310625580948,0,1.1102230246251565e-16,-0.2964563369513662,0.3007528056028352,0.0,0.5972091425542012,0.0,0,0.0,0.9304910084764484,0.03935297056357661,0.001172565771227106,0.4180463997879409,1.8080463997879408,1.39
11,0.21000000000000002,0.8418344124702021,0,1.1102230246251565e-16,-0.31127883300071835,0.31579012043551147,0.0,0.6270689534362298,0.0,0,0.0,0.9333866379710821,0.0371142805078026,0.0011214405671297525,0.4389482674053609,1.8289482674053608,1.39
12,0.22,0.8526280283088684,0,-2.220446049250313e-16,-0.32610130298872564,0.33082740882914174,0.0,0.6569287118178674,0.0,0,0.0,0.9361589525430292,0.03498348568650861,0.001072454274598956,0.4598500982725071,1.849850098272507,1.39
13,0.23,0.8637019859131811,0,0.0,-0.34092374752774,0.3458646714049538,0.0,0.686788418932694,0.0,0,0.0,0.9388120506587536,0.03295665466587824,0.0010255443563379704,0.4807518932528858,1.8707518932528855,1.3899999999999997
14,0.24000000000000002,0.8750673514054922,0,1.1102230246251565e-16,-0.3557461672301092,0.36090190878416895,0.0,0.7166480760142783,0.0,0,0.0,0.9413499449921754,0.031029941911275727,0.0009806486998813098,0.5016536532099949,1.8916536532099946,1.3899999999999997
15,0.25,0.8867357811013455,0,-1.1102230246251565e-16,-0.37056856270817384,0.3759391215880023,0.0,0.7465076842961761,0.0,0,0.0,0.9437765621677279,0.029199588044189324,0.0009377056954420112,0.5225553790073232,1.912555379007323,1.39
16,0.26,0.8987195613873953,0,-1.1102230246251565e-16,-0.3853909345742679,0.39097631043766295,0.0,0.7763672450119309,0.0,0,0.0,0.9460957425740646,0.027461920028524024,0.0008966543099509313,0.5434570715083515,1.9334570715083514,1.39
17,0.27,0.911031651876962,0,-1.1102230246251565e-16,-0.4002132834407204,0.40601347595435394,0.0,0.8062267593950744,0.0,0,0.0,0.948311240246754,0.025813351287906884,0.0008574341572463105,0.564358731576552,1.9543587315765518,1.3899999999999997
18,0.28,0.9236857321618838,0,-1.1102230246251565e-16,-0.4150356099198542,0.42105061875927247,0.0,0.8360862286791269,0.0,0,0.0,0.9504267228183152,0.024250381755650814,0.0008199855643885572,0.5852603600753887,1.9752603600753886,1.39
19,0.29000000000000004,0.9366962525152289,0,1.1102230246251565e-16,-0.4298579146239867,0.43608773947360985,0.0,0.8659456540975966,0.0,0,0.0,0.952445771533969,0.02276959785900481,0.000784249634090959,0.6061619578683176,1.9961619578683174,1.3899999999999997
20,0.30000000000000004,0.950078488939956,0,-1.1102230246251565e-16,-0.44468019816542914,0.4511248387185514,0.0,0.8958050368839808,0.0,0,0.0,0.9543718813314904,0.02136767243930076,0.0007501683032718614,0.6270635258187865,2.017063525818786,1.3899999999999997
21,0.31,0.9638486030044114,0,0.0,-0.45950246115648774,0.46616191711527727,0.0,0.9256643782717648,0.0,0,0.0,0.9562084609835715,0.02004136460958919,0.0007176843977477186,0.6479650647902353,2.037965064790235,1.39
22,0.32,0.9780237069574336,0,-1.1102230246251565e-16,-0.47432470420946227,0.4811989752849616,0.0,0.9555236794944238,0.0,0,0.0,0.9579588333011254,0.01878751955133832,0.0006867416830992559,0.6688665756460966,2.058866575646096,1.3899999999999997
23,0.33,0.9926219346746566,0,0.0,-0.48914692793664805,0.4962360138487733,0.0,0.9853829417854213,0.0,0,0.0,0.9596262353959647,0.017603068251752507,0.0006572849117548029,0.6897680592497949,2.079768059249795,1.3900000000000001
24,0.33999999999999997,1,0,0.02309477989136144,-0.4847360261430751,0.5151906727885586,0.0,1.0,0.0001511956644645505,0,0.0,0.9612654882646385,0.016433357919937847,0.0006282603964818797,0.716166345923953,2.09,1.373833654076047
25,0.35,1,0,0.06938850239767902,-0.4614210731405781,0.5385024679373622,0.0,1.0,0.00016567569000406975,0,0.0,0.9628734418540867,0.015281706921245187,0.0005997315417553392,0.7485719516783753,2.09,1.3414280483216245
26,0.36,1,0,0.11712889450863861,-0.4373775370804336,0.5625427566845659,0.0,1.0,0.0001822034866689736,0,0.0,0.9644018450396192,0.014196534799293533,0.0005726368011536369,0.781990226156047,2.09,1.308009773843953
27,0.37,1,0,0.16638484525306074,-0.41257072353129676,0.587346229201522,0.0,1.0,0.0002012516861791867,0,0.0,0.9658532211076301,0.013175486793254055,0.0005469332897316096,0.8164693916771425,2.09,1.2735306083228575
