D_vals,π1,π20,π21,S3,I3,Uphi,Un,Ud,m
0.0018667634083389428,0.10000760118836728,0.12780846170834279,0.0,0.8907775363607432,0.07088966494940005,0.20052777225496202,1.3505239716607784,1.1499961994058163,0.1
0.001794791569825811,0.110008361307204,0.14216883886110088,0.0,0.8949190102277428,0.06749086465795896,0.22058038807697505,1.365576207423373,1.144995819346398,0.11
0.00172537718780399,0.12000912142604074,0.15685557093367228,0.0,0.8989039284318906,0.06423139781853399,0.2406329758838485,1.3806284151708281,1.1399954392869796,0.12000000000000001
0.0016584590620892868,0.13000988154487747,0.17187991307356798,0.0,0.9027370606991473,0.06110685093049249,0.2606855360083037,1.3956805952358649,1.134995059227561,0.13
0.001593975956418312,0.14001064166371419,0.18725364396979435,0.0,0.906423082033126,0.05811289959890676,0.2807380687830574,1.4107327479512002,1.1299946791681428,0.14
0.001531866683280301,0.15001140178255093,0.202989096652166,0.0,0.9099665727541145,0.055245308539989484,0.30079057454082175,1.4257848736495462,1.1249942991087245,0.15000000000000002
0.0014720701856055915,0.16001216190138765,0.21909919149076817,0.0,0.9133720186159944,0.05249993150868604,0.3208430536143041,1.44083697266361,1.119993919049306,0.16
0.0014145256152101372,0.1700129220202244,0.2355974715811415,0.0,0.9166438109978775,0.04987271115159648,0.3408955063362077,1.4558890453260953,1.1149935389898875,0.17
0.0013591724079121414,0.18001368213906108,0.25249814071886606,0.0,0.9197862471673707,0.047359678788325546,0.3609479330392307,1.4709410919697001,1.1099931589304695,0.18
0.0013059503552532922,0.19001444225789782,0.2698161041873421,0.0,0.9228035306124316,0.044956954124284486,0.38100033405606715,1.485993112927118,1.104992778871051,0.19
0.0012547996727729162,0.20001520237673456,0.28756701260494427,0.0,0.9256997714388793,0.0426607448978977,0.4010527097194068,1.5010451085310395,1.0999923988116327,0.2
0.001205661064798716,0.2100159624955713,0.3057673091026608,0.0,0.928478986830664,0.040467346465093486,0.42110506036193485,1.516097079114149,1.0949920187522142,0.21000000000000002
0.0011584757857324138,0.220016722614408,0.3244342801311346,0.0,0.9311451015700978,0.03837314132388964,0.4411573863163319,1.5311490250091278,1.089991638692796,0.22
0.0011131856978225882,0.23001748273324474,0.3435861102270863,0.0,0.9337019486152974,0.03637459858181473,0.461209687915275,1.5462009465486526,1.0849912586333776,0.23
0.001069733325430226,0.24001824285208148,0.3632419411038337,0.0,0.9361532697321702,0.03446827336883777,0.4812619654914363,1.5612528440653954,1.0799908785739591,0.24000000000000002
0.00102806190580496,0.25001900297091817,0.38342193546953257,0.0,0.9385027161783381,0.03265080619841233,0.501314219377484,1.5763047178920249,1.0749904985145409,0.25
0.0009881154364015108,0.26001976308975494,0.4041473460204017,0.0,0.9407538494364548,0.030918922279174817,0.5213664499060825,1.591356568361205,1.0699901184551224,0.26
0.0009498387187766779,0.27002052320859166,0.4254405901052119,0.0,0.9429101419944472,0.029269430779772634,0.5414186574098914,1.6064083958055955,1.064989738395704,0.27
0.0009131773991170804,0.28002128332742837,0.4473253306124756,0.0,0.9449749781702634,0.027699224049233293,0.5614708422215668,1.6214602005578524,1.0599893583362856,0.28
0.0008780780054569091,0.29002204344626514,0.4698265636939039,0.0,0.946951654978786,0.026205276795223553,0.581523004673761,1.6365119829506283,1.0549889782768673,0.29000000000000004
0.0008444879816531231,0.30002280356510186,0.49297071400783316,0.0,0.9488433830386127,0.02478464522248612,0.6015751450991214,1.6515637433165704,1.049988598217449,0.30000000000000004
0.0008123557181928565,0.3100235636839385,0.5167857382456028,0.0,0.9506532875164873,0.023434466133680536,0.6216272638302924,1.6666154819883232,1.0449882181580308,0.31
0.0007816305799142908,0.3200243238027753,0.5413012377936327,0.0,0.9523844091072102,0.02215195599479597,0.6416793611999144,1.6816671992985266,1.0399878380986123,0.32
0.0007522629307279406,0.330025083921612,0.5665485814857878,0.0,0.9540397050469166,0.020934409967244782,0.6617314375406238,1.6967188955798176,1.0349874580391938,0.33
0.0007242041554301827,0.3400258440404487,0.5925610395163332,0.0,0.9556220501576715,0.019779200908688788,0.6817834931850529,1.7117705711648286,1.0299870779797757,0.33999999999999997
0.0006974066787050269,0.35002660415928544,0.6193739297155317,0.0,0.9571342379213932,0.018683778344593508,0.7018355284658311,1.7268222263861883,1.0249866979203572,0.35
0.0006718239814135056,0.36002736427812215,0.6470247775402054,0.0,0.9585789815811525,0.017645667412450695,0.7218875437155834,1.7418738615765224,1.019986317860939,0.36
0.0006474106142728377,0.3700281243969589,0.6755534913033342,0.0,0.9599589152679728,0.016662467780554874,0.7419395392669316,1.7569254770684521,1.0149859378015207,0.37
0.0006241222090295772,0.38002888451579564,0.7050025543634354,0.0,0.9612765951512938,0.015731852543166676,0.7619915154524934,1.7719770731945954,1.009985557742102,0.38
0.0006019154872324436,0.39002964463463236,0.7354172362201735,0.0,0.9625345006113171,0.014851567093843204,0.7820434726048839,1.7870286502875676,1.0049851776826837,0.39
0.0005807482667114538,0.4000304047534691,0.7668458247222033,0.0,0.9637350354315073,0.014019427978664647,0.8020954110567138,1.8020802086799792,0.9999847976232654,0.4
0.0005605794658703548,0.41003116487230584,0.7993398818924144,0.0,0.9648805290095694,0.013233321731035926,0.8221473311405905,1.8171317487044376,0.9949844175638471,0.41000000000000003
0.0005413691058992635,0.4200319249911426,0.8329545262213242,0.0,0.9659732375852725,0.0124912036896929,0.8421992331891185,1.832183270693547,0.9899840375044285,0.42000000000000004
