,m,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S3,I3,D_vals,Uphi,Un,Ud
0,0.1,0.7017181960314013,0,-5.551115123125783e-17,-0.11310966781700493,0.15835353494380688,0.0,0.2714632027608119,0.0,0.0,0.0,0.8938673555985786,0.06852247526450336,0.0018139360843969607,0.1900242419325683,1.3900242419325681,1.1999999999999997
1,0.11,0.7096035225394287,0,-5.551115123125783e-17,-0.12442048514120896,0.1741886791976924,0.0,0.29860916433890133,0.0,0.0,0.0,0.8982530963628658,0.06495703415661107,0.0017377077756044735,0.20902641503723093,1.409026415037231,1.2
2,0.12000000000000001,0.717668051131516,0,0.0,-0.13573127716068534,0.19002378802495928,0.0,0.3257550651856445,0.0,0.0,0.0,0.9024703278329821,0.06154301819324344,0.0016642386077868818,0.22802854562995115,1.428028545629951,1.2
3,0.13,0.7259179611898909,0,-1.1102230246251565e-16,-0.14704204434275636,0.2058588620798589,0.0,0.3529009064226154,0.0,0.0,0.0,0.9065238528444303,0.05827579050517588,0.0015934691232658178,0.24703063449583076,1.4470306344958306,1.1999999999999997
4,0.14,0.7343597195099077,0,1.1102230246251565e-16,-0.15835278715473944,0.22169390201663527,0.0,0.3800466891713747,0.0,0.0,0.0,0.9104184011225414,0.05515078743999122,0.0015253392480464852,0.26603268241996236,1.466032682419962,1.1999999999999997
5,0.15000000000000002,0.7430000972067025,0,5.551115123125783e-17,-0.1696635060639462,0.23752890848952463,0.0,0.40719241455347077,0.0,0.0,0.0,0.9141586282506435,0.052163519593912806,0.001459788396318218,0.28503469018742955,1.4850346901874296,1.2000000000000002
6,0.16,0.751846187829465,0,0.0,-0.18097420153768284,0.25336388215275596,0.0,0.4343380836904388,0.0,0.0,0.0,0.9177491147174786,0.049309572764387424,0.001396755573027266,0.30403665858330714,1.5040366585833072,1.2
7,0.17,0.7609054267851775,0,5.551115123125783e-17,-0.19228487404325056,0.269198823660551,0.0,0.46148369770380165,0.0,0.0,0.0,0.9211943650422906,0.04658460882499579,0.0013361794742881225,0.3230385883926612,1.523038588392661,1.1999999999999997
8,0.18,0.7701856121836019,0,-2.220446049250313e-16,-0.2035955240479459,0.28503373366712387,0.0,0.48862925771506976,0.0,0.0,0.0,0.9244988069760269,0.043984366524253936,0.0012779985854170573,0.3420404804005488,1.5420404804005488,1.2
9,0.19,0.7796949272263399,0,-1.1102230246251565e-16,-0.21490615201905894,0.3008686128266823,0.0,0.5157747648457413,0.0,0.0,0.0,0.9276667907770932,0.04150466220985489,0.0012221512763893893,0.36104233539201885,1.5610423353920186,1.1999999999999997
10,0.2,0.7894419642750736,0,1.1102230246251565e-16,-0.2262167584238759,0.3167034617934263,0.0,0.5429202202173021,0.0,0.0,0.0,0.9307025885601378,0.03914139047988723,0.001168575894540195,0.38004415415211157,1.5800441541521115,1.2
11,0.21000000000000002,0.799435750747773,0,1.1102230246251565e-16,-0.23752734372967765,0.33253828122154905,0.0,0.5700656249512269,0.0,0.0,0.0,0.9336103937163338,0.036890524762550767,0.0011172108543464857,0.3990459374658589,1.5990459374658588,1.1999999999999997
12,0.22,0.8096857770069187,0,1.1102230246251565e-16,-0.24883790840374065,0.34837307176523713,0.0,0.5972109801689779,0.0,0.0,0.0,0.9363943204036601,0.03474811782587763,0.0010679947241472817,0.4180476861182846,1.6180476861182844,1.1999999999999997
13,0.23,0.8202020264208351,0,0.0,-0.26014845291333577,0.3642078340786701,0.0,0.6243562869920058,0.0,0.0,0.0,0.9390584031056801,0.0327103022189518,0.0010208663096762686,0.4370494008944041,1.637049400894404,1.2
14,0.24000000000000002,0.8309950077982844,0,0.0,-0.27145897772572924,0.3800425688160209,0.0,0.6515015465417502,0.0,0.0,0.0,0.9416065962573454,0.03077329064610566,0.0009757647342997115,0.4560510825792251,1.656051082579225,1.1999999999999997
15,0.25,0.8420757904178294,0,0.0,-0.28276948330818263,0.39587727663145583,0.0,0.6786467599396386,0.0,0.0,0.0,0.9440427739363583,0.028933376275558954,0.0009326295158699683,0.475052731957747,1.6750527319577468,1.1999999999999997
16,0.26,0.853456041897415,0,-1.1102230246251565e-16,-0.2940799701279537,0.4117119581791349,0.0,0.7057919283070886,0.0,0.0,0.0,0.946370729618639,0.027186932983949755,0.0008914006401221076,0.494054349814962,1.6940543498149618,1.1999999999999997
17,0.27,0.865148069176517,0,-2.220446049250313e-16,-0.3053904386522941,0.42754661411321143,0.0,0.7329370527655056,0.0,0.0,0.0,0.9485941759964667,0.025530415538193987,0.0008520186305577263,0.5130559369358538,1.7130559369358538,1.2
18,0.28,0.877164862913471,0,2.220446049250313e-16,-0.31670088934845153,0.4433812450878326,0.0,0.7600821344362844,0.0,0.0,0.0,0.9507167448578713,0.023960359716094656,0.0008144246147760132,0.5320574941053992,1.732057494105399,1.1999999999999997
