D_vals,𝜋1,𝜋20,𝜋21,𝜋30,𝜋31,𝜋32,S4,I4,Ud,m
0.0018047076206649504,0.10000600846316714,0.11112992231202047,0.0,0.12504543062057785,0.0,0.0,0.9329612982491289,0.04329840083619337,1.1499969957684164,0.1
0.001724420461298906,0.11000660930948385,0.12361639598115895,0.0,0.14107674171768464,0.0,0.0,0.9350610680659811,0.04156558429430654,1.1449966953452582,0.11
0.0016474724495266985,0.12000721015580057,0.13638665019247007,0.0,0.15795181278120773,0.0,0.0,0.9370897735226594,0.03989596865483456,1.1399963949220997,0.12000000000000001
0.001573767426404251,0.13000781100211728,0.14945047142587042,0.0,0.17573906802676695,0.0,0.0,0.9390494399922658,0.03828768276126928,1.1349960944989412,0.13
0.0015032093383055395,0.140008411848434,0.16281810137818925,0.0,0.19451453530818288,0.0,0.0,0.9409420511465467,0.036738894772038545,1.129995794075783,0.14
0.0014357024279200597,0.15000901269475073,0.17650026374252645,0.0,0.21436293249744512,0.0,0.0,0.9427695492812022,0.03524781185378272,1.1249954936526245,0.15000000000000002
0.0013711514144921664,0.1600096135410674,0.190508192900559,0.0,0.23537894560524225,0.0,0.0,0.9445338356545558,0.03381267986128279,1.1199951932294665,0.16
0.0013094616632170803,0.17001021438738415,0.20485366468914076,0.0,0.2576687393200748,0.0,0.0,0.9462367708389672,0.032431783004659126,1.114994892806308,0.17
0.001250539343768192,0.18001081523370083,0.21954902941828036,0.0,0.2813517508149665,0.0,0.0,0.9478801750843886,0.031103443504445046,1.1099945923831498,0.18
0.001194291577986196,0.19001141608001756,0.23460724733507843,0.0,0.3065628307951076,0.0,0.0,0.9494658286934647,0.029826021235126062,1.104994291959991,0.19
0.0011406265768128246,0.20001201692633427,0.25004192674765846,0.0,0.33345481282197886,0.0,0.0,0.9509954724076098,0.02859791335772187,1.0999939915368329,0.2
0.0010894537665997273,0.210012617772651,0.2658673650448071,0.0,0.3622016143077611,0.0,0.0,0.9524708078034889,0.027417553941974638,1.0949936911136746,0.21000000000000002
0.001040683904966936,0.2200132186189677,0.2820985928712143,0.0,0.3930020021198688,0.0,0.0,0.9538934976993602,0.02628341357869401,1.0899933906905157,0.22
0.000994229186424615,0.23001381946528443,0.2987514217452085,0.0,0.4260841951318709,0.0,0.0,0.9552651665707346,0.02519399898279672,1.084993090267358,0.23
0.0009500033380070718,0.24001442031160114,0.3158424954360837,0.0,0.46171152909317104,0.0,0.0,0.9565874009748333,0.024147852587564817,1.0799927898441997,0.24000000000000002
0.000907921705198839,0.25001502115791785,0.3333893454519423,0.0,0.5001894813225137,0.0,0.0,0.9578617499833277,0.023143552130635323,1.0749924894210412,0.25
0.0008679013284594645,0.26001562200423456,0.351410451026918,0.0,0.5418744519181167,0.0,0.0,0.9590897256228648,0.022179710232220574,1.0699921889978823,0.26
0.0008298610106763912,0.27001622285055127,0.36992530403925955,0.0,0.5871848361854776,0.0,0.0,0.9602728033228839,0.02125497396604698,1.0649918885747245,0.27
0.0007937213758942615,0.280016823696868,0.3889544793397084,0.0,0.6366151174621094,0.0,0.0,0.9614124223702617,0.020368024423487875,1.0599915881515658,0.28
0.0007594049196842186,0.29001742454318474,0.408519711023621,0.0,0.6907539873630775,0.0,0.0,0.9625099863703069,0.019517576271354024,1.0549912877284078,0.29000000000000004
0.0007268360515286177,0.30001802538950145,0.4286439752412628,0.0,0.7503079033752459,0.0,0.0,0.9635668637136636,0.018702377303794253,1.0499909873052493,0.30000000000000004
0.0006959411296051024,0.3100186262358181,0.4493515802096258,0.0,0.816132087528572,0.0,0.0,0.9645843880486774,0.017921207988746777,1.044990686882091,0.31
0.0006666484883596058,0.3200192270821348,0.47066826416716573,0.0,0.8892718606508009,0.0,0.0,0.9655638587587951,0.017172881009371144,1.0399903864589324,0.32
0.0006388884592606065,0.3300198279284516,0.49262130210139243,0.0,0.9710185692084445,0.0,0.0,0.9665065414445815,0.016456240800879072,1.034990086035774,0.33
0.0006163642182018175,0.34002042877476824,0.5152396221798504,0.0,1.0,0.029630866558622383,0.0,0.9674136684099414,0.015770163083172396,1.0299897856126157,0.33999999999999997
0.000596607730325118,0.35002102962108494,0.5385539329295724,0.0,1.0,0.07164080455852469,0.0,0.9682864391521545,0.015113554389684817,1.0249894851894579,0.35
0.0005776494725595924,0.36002163046740165,0.5625968623407195,0.0,1.0,0.11131686374734201,0.0,0.9691260208553345,0.014485351592814812,1.0199891847662992,0.36
0.0005594613900126577,0.37002223131371836,0.5874031102194565,0.0,1.0,0.14884827730377995,0.0,0.9699335488869307,0.013884521426325512,1.0149888843431414,0.37
0.00054201615634167,0.38002283216003513,0.6130096152860791,0.0,1.0,0.18440435913806574,0.0,0.9707101272969175,0.013310060005078641,1.0099885839199825,0.38
0.0005252871692454837,0.39002343300635184,0.6394557387106435,0.0,1.0,0.21813705764414268,0.0,0.9714568293193031,0.012760992342458543,1.0049882834968242,0.39
0.0005092485451843145,0.40002403385266855,0.6667834660039956,0.0,1.0,0.25018312638903456,0.0,0.9721746978756176,0.012236371865833446,0.9999879830736655,0.4
0.0004938751133770329,0.41002463469898526,0.6950376294421833,0.0,1.0,0.28066597714035213,0.0,0.9728647460800403,0.011735279930391215,0.9949876826505073,0.41000000000000003
0.000479142409123681,0.420025235545302,0.7242661535026731,0.0,1.0,0.30969726817558285,0.0,0.9735279577458407,0.011256825331677467,0.9899873822273493,0.42000000000000004
0.0004650266664996808,0.43002583639161873,0.7545203261386838,0.0,1.0,0.33737827096683204,0.0,0.9741652878928113,0.010800143817155055,0.9849870818041908,0.43000000000000005
