,m,ICphi,ICn,P2phi,P3phi,GRBT fatalities,SRA1 fatalities,SRA2 fatalities,Optimal fatalities
0,0.1,8.413825192121749e-13,-0.11310966781629261,0.0341456454461351,0.06342851162792228,0.001813936084396933,0.0018403990254190125,0.0018249794916109262,0.0018102352573
1,0.11,-3.3584246494910985e-14,-0.12442048514123738,0.03331473166387631,0.06063160505169669,0.001737707775604474,0.001768647410486063,0.0017506763974491414,0.0017333647899
2,0.12000000000000001,1.9029222642075183e-13,-0.13573127716052402,0.03249157904866392,0.057928585143144556,0.0016642386077868744,0.001699802019686006,0.0016792112377524426,0.0016592299455
3,0.13,2.020605904817785e-13,-0.1470420443425854,0.03167618760049789,0.0553173898870881,0.0015934691232658113,0.0016337648268760188,0.0016105092074621393,0.0015877772521
4,0.14,9.194311978433234e-13,-0.15835278715396117,0.030868557319378258,0.052795978051551964,0.0015253392480464487,0.0015704395846899571,0.001544495623474483,0.0015189524237
5,0.15000000000000002,2.3319124409226788e-12,-0.16966350606197222,0.030068688205305005,0.050362329206768905,0.0014597883963181205,0.0015097318997795528,0.001481096035744816,0.0014527004517
6,0.16,-1.3188894421034547e-12,-0.18097420153879917,0.02927658025827813,0.048014443744197915,0.0013967555730273228,0.001451549299036207,0.0014202363334797079,0.0013889656962
7,0.17,1.9311219290329973e-12,-0.19228487404161587,0.028492233478297636,0.045750342895454314,0.001336179474288037,0.001395801287124558,0.001361842846300769,0.0013276919749
8,0.18,1.2702616736248729e-12,-0.2035955240468703,0.027715647865363537,0.04356806875145096,0.0012779985854169992,0.0013423993956772045,0.0013058424402910922,0.0012688226514
9,0.19,-1.5628609517648329e-12,-0.21490615202038188,0.026946823419475813,0.04146568428129832,0.0012221512763894611,0.0012912572245145752,0.001252162608861399,0.0012123007225
10,0.2,2.815969679659247e-12,-0.22621675842149225,0.02618576014063446,0.039441273351334016,0.001168575894540064,0.0012422904752653209,0.001200731558398121,0.0011580689022
11,0.21000000000000002,-3.7780889527994077e-13,-0.23752734372999762,0.025432458028839495,0.03749294074426347,0.0011172108543465033,0.0011954169777704724,0.0011514782886794463,0.0011060697059
