,m,ICphi,ICn,P2phi,P3phi,GRBT fatalities,SRA1 fatalities,SRA2 fatalities,Optimal fatalities
0,0.1,8.413825192121749e-13,-0.11310966781629261,0.03448783604380431,0.06559364565180657,0.0018814873160455346,0.0019034608578434298,0.001890750721720917,0.0018785642685
1,0.11,-3.3584246494910985e-14,-0.12442048514123738,0.033689627291872436,0.06293671370638428,0.0018093725278125244,0.0018351362472859302,0.0018202701246027525,0.0018059274239
2,0.12000000000000001,1.9029222642075183e-13,-0.13573127716052402,0.032898904428906965,0.060361661620902965,0.0017395988846092543,0.0017692982459093236,0.0017522031263578724,0.0017356079764
3,0.13,2.020605904817785e-13,-0.1470420443425854,0.032115667454907855,0.05786688318290706,0.0016721229839945478,0.001705872789744965,0.0016864938852584799,0.0016675667626
4,0.14,9.194311978433234e-13,-0.15835278715396117,0.03133991636987514,0.05545078633343873,0.0016069008442320904,0.0016447868956425303,0.0016230865133621388,0.0016017639311
5,0.15000000000000002,2.3319124409226788e-12,-0.16966350606197222,0.030571651173808813,0.053111793184265975,0.001543887971341486,0.0015859687177773804,0.0015619251507269713,0.001538159001
6,0.16,-1.3188894421034547e-12,-0.18097420153879917,0.029810871866708857,0.05084834003512011,0.001483039425374126,0.001529347598819103,0.0015029540369624677,0.0014767109209
7,0.17,1.9311219290329973e-12,-0.19228487404161587,0.029057578448575285,0.04865887739086335,0.0014243098857738524,0.0014748541159092488,0.0014461175800320422,0.0014173781267
8,0.18,1.2702616736248729e-12,-0.2035955240468703,0.028311770919408105,0.04654186997882263,0.0013676537156939962,0.001422420121607827,0.0013913604222369482,0.0013601185997
9,0.19,-1.5628609517648329e-12,-0.21490615202038188,0.027573449279207303,0.04449579676593235,0.0013130250251421312,0.0013719787799780008,0.001338627503324294,0.0013048899232
10,0.2,2.815969679659247e-12,-0.22621675842149225,0.02684261352797287,0.042519150975978866,0.0012603777328407898,0.0013234645979867355,0.0012878641206746733,0.0012516493393
11,0.21000000000000002,-3.7780889527994077e-13,-0.23752734372999762,0.026119263665704825,0.04061044010693305,0.0012096656266964519,0.001276813452405976,0.0012390159865372874,0.0012003538041
12,0.22,2.595479386968691e-12,-0.24883790840154374,0.025403399692403166,0.03876818594803744,0.0011608424227734977,0.0012319626124043183,0.001192029282292288,0.0011509600427
13,0.23,4.636291350834654e-13,-0.2601484529129434,0.024695021608067885,0.03699092459721039,0.001113861822690145,0.0011888507580231568,0.0011468507097313874,0.0011034246023
14,0.24000000000000002,3.467892639719139e-12,-0.2714589777227938,0.023994129412698992,0.03527720647815132,0.00106867756934668,0.0011474179947340418,0.0011034275393585452,0.0010577039049
15,0.25,-2.6368907057872093e-12,-0.28276948331041485,0.023300723106296474,0.03362559635773596,0.0010252435009204949,0.0011076058642755788,0.001061707655722691,0.0010137542985
16,0.26,1.2674306049120787e-12,-0.2940799701268806,0.022614802688860347,0.03203467336308243,0.0009835136030556606,0.0010693573519685985,0.0010216395998039098,0.00097153210671
17,0.27,-2.461142400989047e-12,-0.3053904386543773,0.021936368160390594,0.030503030999037315,0.0009434420592003922,0.0010326168907078847,0.0009831726084834251,0.00093099367799
18,0.28,2.814193322819847e-12,-0.3167008893460699,0.021265419520887226,0.029029277165198448,0.000904983299033857,0.0009973303618271844,0.0009462566511358367,0.00089209543234
19,0.29000000000000004,3.4985347951987933e-12,-0.3280113226807093,0.020601956770350236,0.02761203417339439,0.0008680920449540206,0.000963445093031968,0.0009108424633896535,0.00085479390702
20,0.30000000000000004,2.316924430090239e-12,-0.3393217391232288,0.019945979908779624,0.026249938764790936,0.0008327233565848763,0.0009309098535914064,0.0008768815781089571,0.00081904580093
21,0.31,3.0834224062914473e-12,-0.3506321391376339,0.019297488936175413,0.024941642127210024,0.0007988326732860434,0.0008996748469772143,0.0008443263536552246,0.00078480801724
22,0.32,4.155120691962111e-12,-0.36194252319254616,0.01865648385253757,0.02368580991242343,0.0007663758546451567,0.0008696917011328487,0.0008131299994938827,0.0007520377043
23,0.33,1.9766410730426287e-12,-0.3732528917582014,0.018022964657866108,0.022481122253414403,0.0007353092189432614,0.000840913456551653,0.0007832465992150214,0.00072069229516
24,0.33999999999999997,6.398215290914777e-13,-0.38456324529835806,0.017396931352161037,0.02132627378161952,0.0007055895795903056,0.0008132945523373859,0.0007546311310419662,0.00069072954531
25,0.35,1.932343174360085e-12,-0.39587358427872066,0.016778383935422345,0.02021997364424343,0.0006771742795349156,0.0007867908104149449,0.0007272394859050822,0.00066210756885
26,0.36,2.9463098627502404e-12,-0.4071839091689655,0.016167322407650033,0.01916094552154997,0.0006500212236564675,0.0007613594180532473,0.0007010284831612252,0.00063478487297
27,0.37,0.006962297326933431,-0.41257072353129676,0.015563746768844106,0.018122840001546046,0.0006238344935206013,0.0007369589088560909,0.0006759558840418317,0.00060872039061
28,0.38,0.05085759581369609,-0.3869636997114141,0.014967657019004554,0.016999572394114985,0.000597544474800831,0.0007135491423705569,0.0006519804029146082,0.00058387351186
29,0.39,0.09619207473756086,-0.36051711101727824,0.014379053158131387,0.015920661011565303,0.0005724621034873724,0.0006910912824560613,0.0006290617164453184,0.00056020411302
30,0.4,0.1430376931204118,-0.3331889792051468,0.013797935186224606,0.014885427508668512,0.0005485534232414142,0.0006695477745507038,0.0006071604707471986,0.00053767258461
31,0.41000000000000003,0.19147128856188744,-0.3049344800486524,0.013224303103284206,0.01389319314896064,0.0005257845560916054,0.0006488823219650043,0.0005862382866061639,0.00051623985751
32,0.42000000000000004,0.24157499780643055,-0.2757056979954695,0.01265815690931018,0.012943278804742449,0.000504121729254387,0.0006290598613265893,0.0005662577628701808,0.0004958674274
33,0.43000000000000005,0.29343672158054757,-0.2454513549983739,0.012099496604302542,0.012035004957079688,0.00048353130127047015,0.0006100465372929092,0.0005471824780910254,0.00047651737769
34,0.44000000000000006,0.3471506392340691,-0.21411651029248224,0.011548322188261288,0.011167691695803275,0.00046397978743998133,0.0005918096766426385,0.0005289769905061642,0.00045815240086
35,0.45000000000000007,0.4028177795240848,-0.18164222742091884,0.011004633661186411,0.010340658719509527,0.00044543388454154593,0.0005743177618500633,0.0005116068364477032,0.00044073581822
36,0.45999999999999996,0.4605466548193209,-0.14796520426333726,0.010468431023077929,0.009553225335560417,0.0004278604948231777,0.0005575404042405794,0.000495038527264253,0.00042423159813
37,0.47,0.5204539671012387,-0.11301736118087224,0.009939714273935819,0.00880471046008374,0.0004112267492554332,0.0005414483168193242,0.0004792395448402763,0.00040860437279
38,0.48,0.5826653954267951,-0.07672538163936293,0.009418483413760087,0.008094432617973381,0.00039550003003974865,0.0005260132868590472,0.000464178335795905,0.00039381945366
39,0.49,0.6473164760338854,-0.03901019878824319,0.008904738442550743,0.007421709942889535,0.0003806479923672684,0.0005112081483276072,0.0004498243044484966,0.00037984284468
