,m,ICphi,ICn,P2phi,P3phi,GRBT fatalities,SRA1 fatalities,SRA2 fatalities,Optimal fatalities
0,0.1,1.8052226380405045e-13,-0.10668053122318732,0.03464824244380431,0.06675883698012194,0.002124710888688759,0.0021475322874990955,0.0021345585413228966,0.00212217857
1,0.11,-2.4896751327219135e-13,-0.11734845668694349,0.033864746235872434,0.06417241553141038,0.0020498742367437072,0.0020767518250311766,0.002061504730669051,0.0020468754828
2,0.12000000000000001,-7.136513602290506e-13,-0.1280163604512451,0.03308849444490696,0.061660607262754644,0.001977140015355564,0.0020082622373105235,0.001990644707588172,0.0019736495424
3,0.13,-5.1458837191376006e-14,-0.1386842428928985,0.03231948707090786,0.05922206899879603,0.0019064822377157457,0.001942007618645221,0.001921940026135059,0.0019024780691
4,0.14,-8.044120924921572e-13,-0.14935210439185498,0.03155772411387514,0.05685546814301053,0.0018378739452667796,0.0018779322959140295,0.0018553516316596834,0.0018333373692
5,0.15000000000000002,-7.294165271787278e-13,-0.16001994532399433,0.030803205573808817,0.054559482692371764,0.0017712872552918168,0.0018159808979731867,0.0017908399267389232,0.0017662027743
6,0.16,-6.089018178556671e-13,-0.17068776606776415,0.030055931450708857,0.0523328012520449,0.0017066934095138356,0.00175609842151249,0.0017283648364749713,0.001701048683
7,0.17,-2.1701529462347935e-12,-0.18135556700241107,0.029315901744575282,0.050174123050065605,0.0016440628235619686,0.0016982302933222055,0.00166788587299607,0.0016378486027
8,0.18,-1.4391265956703592e-12,-0.19202334850233138,0.028583116455408102,0.048082157952008986,0.0015833651371616345,0.001642322428948878,0.0016093621990027312,0.001576575193
9,0.19,6.098455074265985e-13,-0.2026911109461247,0.027857575583207308,0.046055626475697366,0.0015245692649050841,0.0015883212877340195,0.0015527526902108066,0.0015172003103
10,0.2,2.7110536038321698e-12,-0.2133588547126335,0.02713927912797287,0.04409325980587861,0.0014676434474572896,0.0015361739242446607,0.0014980159965515404,0.001459695052
11,0.21000000000000002,-2.7789992529392293e-12,-0.2240265801861181,0.026428227089704825,0.04219379980893014,0.0014125553030549052,0.001485828036118996,0.0014451106019979507,0.0014040298031
12,0.22,-2.7335911312320604e-12,-0.23469428773318057,0.025724419468403165,0.040355999047483,0.001359271879155213,0.0014372320083635914,0.0013939948828966028,0.0013501742818
13,0.23,-3.04911651483053e-12,-0.24536197773658852,0.025027856264067887,0.03857862079521136,0.001307759704099843,0.001390334954150976,0.0013446271646937135,0.001298097586
14,0.24000000000000002,3.117617275449902e-12,-0.256029650568278,0.02433853747669899,0.036860439051448556,0.0012579848386521232,0.0013450867521777766,0.0012969657769547676,0.0012477682406
15,0.25,2.0259349753359857e-12,-0.2666973066176763,0.023656463106296474,0.03520023855597015,0.00120991292728115,0.0013014380806538749,0.0012509691065870426,0.0011991542443
16,0.26,-3.451350316652224e-12,-0.27736494626008756,0.022981633152860347,0.03359681480359488,0.0011635092490595495,0.0012593404480023493,0.001206595649184871,0.0011522231166
17,0.27,-2.1430635044339397e-12,-0.288032569863758,0.022314047616390595,0.032048974058903903,0.001118738768056636,0.0012187462203583554,0.0011638040584277338,0.0011069419445
18,0.28,-1.549316230864406e-12,-0.2987001778128011,0.021653706496887224,0.030555533371017404,0.0010755661831086327,0.0011796086459623157,0.0011225531934715004,0.0010632774301
19,0.29000000000000004,-2.5545121573600227e-12,-0.3093677704857032,0.021000609794350235,0.029115320588229597,0.0010339559768514704,0.0011418818765491492,0.001082802164283197,0.0010211959357
20,0.30000000000000004,5.750955267558311e-14,-0.3200353482557621,0.020354757508779624,0.02772717437271457,0.000993872463914026,0.0011055209858406854,0.0010445103748795022,0.0009806635309
21,0.31,3.624212041586361e-12,-0.3307029115029696,0.019716149640175408,0.026389944215273537,0.0009552798381726159,0.0010704819852528167,0.0010076375644386712,0.0009416460375
22,0.32,-1.7978951660779785e-12,-0.3413704606135026,0.019084786188537567,0.025102490450043462,0.0009181422189736171,0.0010367218369325875,0.0009721438462648118,0.00090410907434
23,0.33,-2.5424107263916085e-12,-0.3520379959534661,0.018460667153866107,0.023863684269117582,0.000882423696238661,0.0010041984642431112,0.0009379897445922557,0.00086801810138
24,0.33999999999999997,-1.4777068457760834e-12,-0.3627055179030174,0.017843792536161036,0.02267240773737539,0.0008480883743788095,0.0009728707598162605,0.00090513622922611,0.00083333846298
25,0.35,-1.1379786002407855e-12,-0.3733730268420259,0.017234162335422347,0.021527553807148665,0.0008151004149418886,0.0009426985912942077,0.0008735447480231149,0.00080003543019
