,m,ICphi,ICn,P2phi,P3phi,GRBT fatalities,SRA1 fatalities,SRA2 fatalities,Optimal fatalities
0,0.1,5.481171072574398e-13,-0.11311701142544861,0.028751053086556982,0.044832596221622896,0.0013278989922347177,0.0013438763056719842,0.0013357660949468535,0.0013260738857
1,0.11,1.0608736111805683e-12,-0.12442846829924081,0.02803106501412617,0.04277135330533188,0.0012758237792625266,0.0012944773961689417,0.0012850546696630074,0.0012736869717
2,0.12000000000000001,8.877898416415064e-13,-0.13573988381698943,0.02731856299361905,0.04077925851542847,0.001225641978149829,0.0012470542804783279,0.0012362912475459254,0.0012231832218
3,0.13,1.3919976282750213e-12,-0.14705125874144298,0.02661354702503559,0.038854849155453335,0.0011773062579733303,0.0012015365812298494,0.0011894177599351189,0.0011745182212
4,0.14,-1.527167281523134e-12,-0.15836259383996087,0.025916017108375797,0.03699667676211025,0.0011307695904732235,0.0011578557704436188,0.0011443769972141256,0.001127647728
5,0.15000000000000002,-1.0927925231385416e-12,-0.1696738898706811,0.025225973243639687,0.03520330712230788,0.0010859852847600944,0.0011159451606565264,0.0011011126367883228,0.0010825277062
6,0.16,2.5145996396247483e-12,-0.18098514759761608,0.02454341543082722,0.033473320290258256,0.001042907020523952,0.001075739893310553,0.0010595692686452827,0.0010391143568
7,0.17,1.3761769501741128e-12,-0.19229636779131476,0.02386834366993844,0.03180531060455683,0.0010014888797460376,0.0010371769246006858,0.0010196924185627123,0.00099736414846
8,0.18,2.6851854073584036e-12,-0.20360755120952045,0.023200757960973328,0.03019788670522368,0.0009616853769178831,0.001000195008973857,0.0009814285690312844,0.00095723384648
9,0.19,2.1330714972123133e-12,-0.21491869861969848,0.022540658303931888,0.02864967155083491,0.0009234514877767102,0.00096473468046378,0.0009447251779614084,0.0009186805407
10,0.2,1.2031486917862821e-12,-0.22622981078439874,0.021888044698814103,0.0271593024355826,0.0008867426765654128,0.0009307382320399568,0.0009095306952445813,0.0008816616724
11,0.21000000000000002,-2.7182700534922333e-12,-0.23754088846962507,0.021242917145619985,0.02572543100638787,0.0008515149218313913,0.0008981496931422528,0.0008757945772410859,0.00084613505998
12,0.22,-2.650213382082711e-12,-0.24885193243324744,0.020605275644349545,0.0243467232799739,0.0008177247407782237,0.0008669148055656077,0.0008434672992667265,0.00081205892331
13,0.23,-4.18332035678759e-13,-0.26016294344057656,0.019975120195002763,0.023021859660006014,0.0007853292121887498,0.0008369809978524922,0.0008125003661519001,0.00077939190713
14,0.24000000000000002,-2.751354699626063e-12,-0.27147392226106115,0.019352450797579652,0.021749534954194415,0.0007542859979376803,0.000808297358343787,0.0007828463209466361,0.00074809310316
15,0.25,1.6581180872776713e-12,-0.2827848696488702,0.018737267452080215,0.02052845839136049,0.0007245533631149951,0.0007808146070318201,0.0007544587518453557,0.0007181220712
16,0.26,1.3037348978173213e-12,-0.294095786377472,0.018129570158504443,0.019357353638639375,0.0006960901947849603,0.0007544850663524407,0.0007272922974049471,0.00068943885894
17,0.27,2.950306665638891e-12,-0.3054066732048555,0.017529358916852335,0.01823495881851836,0.0006688560194019041,0.0007292626310461917,0.0007013026501294334,0.00066200402085
18,0.28,1.9106938253798944e-13,-0.316717530900148,0.0169366337271239,0.017160026526030436,0.0006428110189121383,0.0007051027372119471,0.0006764465584939445,0.00063577863582
19,0.29000000000000004,1.4263035197359386e-12,-0.3280283602199303,0.016351394589319126,0.016131323845828036,0.0006179160455661433,0.0006819623306697876,0.0006526818274800015,0.00061072432377
20,0.30000000000000004,3.295252959389927e-12,-0.3393391619307278,0.015773641503438025,0.015147632369376933,0.0005941326354717946,0.0006597998347434374,0.0006299673176932211,0.00058680326124
21,0.31,2.0621282459387658e-12,-0.3506499367993705,0.015203374469480597,0.014207748212074526,0.0005714230209157133,0.0006385751175662877,0.0006082629431335272,0.00056397819592
22,0.32,-1.0652589921278377e-12,-0.3619606855884938,0.014640593487446833,0.013310482030385465,0.0005497501414837345,0.0006182494590088869,0.0005875296676867739,0.00054221246007
23,0.33,-1.8879342533750787e-12,-0.37327140905818923,0.014085298557336737,0.012454659038997788,0.0005290776540111753,0.0005987855173198133,0.0005677295004054067,0.00052146998329
24,0.33999999999999997,8.574252419180084e-13,-0.3845821079710221,0.01353748967915031,0.01163911902799236,0.000509369941394057,0.0005801472955660697,0.0005488254896443931,0.00050171530313
25,0.35,-1.6888712650597881e-12,-0.39589278309811604,0.012997166852887555,0.010862716380019361,0.0004905921202928935,0.0005623001079535274,0.0005307817161171706,0.00048291357728
26,0.36,1.9501067427540875e-12,-0.40720343519336977,0.012464330078548464,0.010124320087400418,0.000472710047760317,0.0005452105461025749,0.0005135632849347976,0.00046503059162
27,0.37,0.007038018155158143,-0.41251522414438346,0.01193897935613304,0.009408385484450624,0.0004555621745108248,0.0005288464453488897,0.0004971363166898577,0.00044803276973
28,0.38,0.05093650267960759,-0.3869058957794609,0.011421114685641285,0.008655601951910617,0.00043861664237680384,0.000513176851134282,0.0004814679376449958,0.00043188718052
29,0.39,0.09627426596178101,-0.360456933121061,0.010910736067073193,0.00793999614789395,0.00042252080611780745,0.0004981719855477301,0.00046652626908421643,0.00041656154523
30,0.4,0.14312327193964136,-0.33312635445443317,0.01040784350042878,0.0072608876339688285,0.00040724577600096545,0.00048380321407215767,0.00045228041588332306,0.00040202424357
31,0.41000000000000003,0.19156036346220162,-0.30486933184687626,0.009912436985708028,0.006617595580656491,0.0003927629899276073,0.00047004301258806564,0.000438700454354081,0.00038824431899
32,0.42000000000000004,0.2416676828853015,-0.27563794578412426,0.009424516522910943,0.00600943876743162,0.00037904422472339266,0.0004568649346809728,0.0004257574194148773,0.00037519148327
33,0.43000000000000005,0.29353313694063043,-0.24538091397898043,0.008944082112037526,0.0054357355827226676,0.00036606160705112914,0.00044424357929558213,0.0004134232911388389,0.00036283612037
34,0.44000000000000006,0.34725091141214093,-0.21404329112373266,0.008471133753087782,0.0048958040239122395,0.00035378762395146617,0.00043215455877578836,0.0004016709807285415,0.00035114928891
35,0.45000000000000007,0.4029220419589816,-0.18156613588829162,0.008005671446061704,0.004388961697337435,0.0003421951330170685,0.00042057446732602944,0.00039047431596463795,0.00034010272514
36,0.45999999999999996,0.46065504836320126,-0.14788614091811603,0.0075476951909593,0.003914525818290225,0.0003312573722062455,0.00040948084992602484,0.0003798080261739283,0.00032966884469
37,0.47,0.5205666405790803,-0.1129352209451131,0.007097204987780556,0.0034718132110178063,0.0003209479693023624,0.00039885217172770394,0.0003696477267606011,0.00031982074277
38,0.48,0.5827825062496867,-0.07664005337287771,0.006654200836525481,0.003060140308722977,0.0003112409510256777,0.00038866778796003135,0.0003599699033426189,0.00031053219492
39,0.49,0.6474381908724502,-0.03892156481312781,0.0062186827371940746,0.0026788231535644774,0.0003021107518045385,0.0003789079143645299,0.0003507518955334768,0.00030177765673
40,0.5,0.3572383430644037,5.112326884804119e-05,0.009612042639999888,0.00395881660725192,0.00034198831737738316,0.00036955359818154044,0.00034198831737738316,0.00029355378065
41,0.51,0.6749996216404428,-0.011186162858081605,0.0056736456675841995,0.0022674551688372643,0.0002899560727557847,0.00036058668970468223,0.000335357210039956,0.00028993662102
42,0.52,0.6372942797530394,-0.021957654282222627,0.005556995396415084,0.0022072117194620127,0.0002864080451845815,0.00035198981441851964,0.00032892323228864444,0.00028637085578
43,0.53,0.6010119395839768,-0.03232251570361799,0.0054416491100394305,0.002148017534086301,0.0002829089705833694,0.00034374634573216563,0.0003226807764396004,0.00028285532541
44,0.54,0.5660735553030987,-0.04230332785711255,0.005327606808457231,0.0020898643806245435,0.0002794586016368676,0.0003358403783193862,0.00031662436943580416,0.00027938974632
45,0.55,0.5324058307249926,-0.05192102838519452,0.005214868491668489,0.002032744021671109,0.0002760566916822215,0.00032825670207377083,0.00031074867115803904,0.00027597383567
46,0.56,0.49994070604350993,-0.06119505844701112,0.005103434159673203,0.0019766482145003165,0.00027270299471459573,0.0003209807766856297,0.00030504847272009125,0.00027260731146
47,0.5700000000000001,0.4686148986073444,-0.07014349388174446,0.004993303812471377,0.001921568711066448,0.00026939726539274407,0.0003139987068455304,0.0002995186947491441,0.00026928989254
48,0.58,0.43836949121662117,-0.07878316278832664,0.004884477450063008,0.0018674972580037478,0.00026613925904454486,0.0003072972180777406,0.0002941543856523092,0.00026602129858
49,0.59,0.40914956230493127,-0.08712975113059196,0.004776955072448095,0.0018144255966264305,0.0002629287316725112,0.00030086363320530385,0.0002889507198702005,0.00026280125015
50,0.6,0.38090385312316055,-0.09519789776191878,0.0046707366796266405,0.001762345462928688,0.00025976543995926955,0.00029468584944706373,0.00028390299611843865,0.00025962946865
51,0.61,0.3535844676825257,-0.10300128007999287,0.004565822271598642,0.00171124858758469,0.000256649141273008,0.00028875231614562436,0.000279006635617935,0.00025650567643
