,m,ICphi,ICn,P2phi,P3phi,GRBT fatalities,SRA1 fatalities,SRA2 fatalities,Optimal fatalities
0,0.1,-1.5823453658470044e-12,-0.1141537364058911,0.034472363409968905,0.06545545051317622,0.13604858389021107,0.13764904862324812,0.1367090749138511,0.13589041958
1,0.11,-2.975952817507732e-13,-0.12555797581605965,0.03367270895483805,0.06279006260314368,0.13080748481737295,0.13268364097930058,0.1315845824310001,0.13061179262
2,0.12000000000000001,-8.426592756904938e-13,-0.13696033299149035,0.032880558854161704,0.060207368369166646,0.1257380461008409,0.12790037465398033,0.12663694243600165,0.12550250545
3,0.13,-1.8831047832179593e-12,-0.1483608433721988,0.032095913107939834,0.05770572503700723,0.12083701078769934,0.12329375420191967,0.12186201209948129,0.12055967694
4,0.14,7.271960811294775e-13,-0.15975954236577972,0.03131877171617245,0.055283505085198414,0.11610108287969295,0.11885836775710401,0.11725564720179707,0.11578037542
5,0.15000000000000002,2.2745694217007895e-12,-0.17115646535765006,0.030549134678859557,0.05293909623990068,0.11152693226372373,0.11458889108397508,0.11281370760888894,0.11116162311
6,0.16,1.999733711954832e-12,-0.18255164770059595,0.02978700199600114,0.05067090146994549,0.10711119957621129,0.11048009122814613,0.10853206254537016,0.1067004002
7,0.17,2.619793271207982e-12,-0.19394512471555458,0.029032373667597207,0.04847733898214805,0.10285050099147212,0.10652682977860245,0.1044065956589118,0.10239364973
8,0.18,1.1004530620084552e-12,-0.20533693169979017,0.028285249693647766,0.04635684221688675,0.09874143292475833,0.10272406575407647,0.10043320987098472,0.098238281226
9,0.19,-4.284350652028479e-13,-0.21672710391804317,0.027545630074152824,0.04430785984387127,0.09478057664112437,0.09906685812698118,0.09660783201001116,0.094231175326
10,0.2,3.038569396096591e-12,-0.22811567660484067,0.026813514809112336,0.042328855758185194,0.0909645027620692,0.09555036799885641,0.09292641722393644,0.09036918769
11,0.21000000000000002,-1.3347101202043632e-12,-0.23950268498238314,0.026088903898526344,0.04041830907662733,0.08728977566247213,0.09216986044174515,0.08938495317015854,0.086649153439
12,0.22,9.878764473114643e-13,-0.2508881642226968,0.02537179734239484,0.038574714134096355,0.08375295775071807,0.08892070602026765,0.0859794639816347,0.083067890828
13,0.23,-3.4225955403144326e-12,-0.26227214949478705,0.024662195140717817,0.03679658048051775,0.08035061362627494,0.08579838200941228,0.08270601400883422,0.079622205667
14,0.24000000000000002,-2.7287061499237097e-12,-0.27365467592001025,0.023960097293495283,0.035082432877679336,0.07707931410855984,0.0827984733232173,0.07956071133799744,0.076308894026
15,0.25,2.2825075163268593e-12,-0.28503577860447793,0.02326550380072723,0.033430811296588724,0.07393564013275108,0.07991667316958552,0.07653971108691952,0.073124748136
16,0.26,7.964739978660873e-13,-0.296415492637232,0.022578414662413664,0.03184027091494761,0.07091618650788557,0.0771487834464588,0.07363921848017486,0.070066558244
17,0.27,-2.1981305664553474e-12,-0.3077938530687794,0.02189882987855459,0.03030938211478361,0.06801756553363193,0.0744907148944925,0.07085549170635151,0.067131116216
18,0.28,-4.317657342767234e-13,-0.31917089492373596,0.02122674944914999,0.028836730480454077,0.06523641047289074,0.07193848702121314,0.06818484456046552,0.064315220708
19,0.29000000000000004,3.842481888227667e-13,-0.3305466532124106,0.02056217337419988,0.02742091679688841,0.06256937887765206,0.06948822781142851,0.06562364887527448,0.061615678766
20,0.30000000000000004,-5.034861416675085e-13,-0.34192116291685215,0.019905101653704245,0.026060557047964807,0.060013155766152126,0.06713617323838598,0.06316833674570656,0.05902930985
21,0.31,-1.0859091403858656e-12,-0.3532944589930729,0.01925553428766311,0.024754282415189708,0.05756445665016167,0.06487866658986255,0.060815402551069216,0.056552948912
22,0.32,3.5909053508476063e-12,-0.3646665763712611,0.018613471276076456,0.023500739276607466,0.05522003041155318,0.06271215762300655,0.058561404780101405,0.054183449389
23,0.33,-3.86424225951032e-12,-0.37603754997753214,0.017978912618944274,0.022298589206039936,0.05297666202794254,0.06063320156136109,0.056402967664278617,0.051917686108
24,0.33999999999999997,2.371547402901797e-12,-0.38740741467886197,0.017351858316266597,0.021146508972236966,0.05083117514726237,0.058638457947073945,0.054336782625085955,0.049752558071
25,0.35,-1.0639267244982875e-12,-0.39877620536157843,0.016732308368043396,0.020043190538832464,0.04878043451262075,0.05672468936085008,0.052359609541228765,0.047684991115
26,0.36,3.7414515929867775e-14,-0.4101439568583729,0.01612026277427468,0.01898734106389228,0.046821348237538245,0.05488876002173747,0.05046827784196696,0.045711940444
27,0.37,0.01849009082535158,-0.4033343205741813,0.015515721534960447,0.01791062385365565,0.04490149919566968,0.05312763427835045,0.048659687432929,0.043830393043
28,0.38,0.06287432205799437,-0.37733825025694956,0.014918684650100694,0.016788903241878064,0.04300423154934725,0.05143837500264594,0.046930809460897074,0.042037369962
29,0.39,0.10871303958138845,-0.3504905841707835,0.014329152119695432,0.015711824255362928,0.041194818089873304,0.04981814189686157,0.04527868692415134,0.040329928482
30,0.4,0.1560789678721426,-0.32274874236516493,0.013747123943744657,0.014678701235961739,0.0394707623249035,0.0482641897237243,0.04370043513502383,0.038705164148
31,0.41000000000000003,0.20504976187980795,-0.2940672581133177,0.013172600122248364,0.013688848156081158,0.03782957405175007,0.04677386646953148,0.04219324204134352,0.037160212694
32,0.42000000000000004,0.2557084320676495,-0.2643975290521845,0.012605580655206552,0.012741578618690807,0.03626877133242314,0.045344611449202626,0.04075436841345604,0.03569225183
33,0.43000000000000005,0.3081438141945514,-0.23368754212661247,0.01204606554261923,0.011836205857331078,0.03478588241723393,0.043973953361903635,0.039381147903474904,0.03429850293
34,0.44000000000000006,0.3624510894306954,-0.20188156906327426,0.011494054784486393,0.010972042736120928,0.033378447615707865,0.04265950830535299,0.03807098698337128,0.032976232582
35,0.45000000000000007,0.4187323612131342,-0.16891982862356136,0.010949548380808038,0.010148401749765678,0.03204402111375742,0.04139897775643684,0.03682136476843767,0.031722754038
36,0.45999999999999996,0.47709729619642927,-0.13473811132901914,0.010412546331584172,0.00936459502356481,0.03078017273626252,0.04019014652528975,0.03562983273256706,0.030535428542
37,0.47,0.5376638377637346,-0.09926736170287231,0.009883048636814789,0.008619934313419755,0.02958448965439673,0.03903088068953512,0.034494014321678784,0.029411666559
38,0.48,0.6005590018660849,-0.0624332123086484,0.00936105529649989,0.007913731005841694,0.028454578037222057,0.03791912551493522,0.033411604471497436,0.028348928873
39,0.49,0.6659197664898355,-0.0241554629698133,0.008846566310639473,0.0072452961179593255,0.027388064647252564,0.03685290336826549,0.032380369035748986,0.02734472763
40,0.5,0.36168837229709094,0.002567589619110411,0.013001045503657493,0.008560675996837925,0.031530314030243825,0.03583031162781134,0.031530314030243825,0.026547730915
41,0.51,0.6725329234705522,-0.009785735263122985,0.008259811995066708,0.006630265319665822,0.026185780501097693,0.034849520596481304,0.030871584120788723,0.026177523185
42,0.52,0.6349411875527513,-0.02044362071766148,0.008130000079702273,0.006497610049820763,0.025837592989507396,0.03390877142214448,0.030231970198259447,0.025822534054
43,0.53,0.5987770220080291,-0.030690307514716242,0.008001493717919651,0.00636675951193245,0.025494183781896173,0.03300637402942891,0.029610960040185524,0.025472824785
44,0.54,0.5639616790220994,-0.04054807837326235,0.00787429290971884,0.006237705382930568,0.025155528182297413,0.032140705066862126,0.029008052535030655,0.025128355664
45,0.55,0.530422186915702,-0.05003754642963565,0.007748397655099842,0.006110439334774076,0.024821601500671107,0.03131020587289752,0.02842275759266647,0.024789087092
46,0.56,0.49809083988938063,-0.05917779883629093,0.007623807954062658,0.00598495303445129,0.024492379053910388,0.03051338046404727,0.02785459605103598,0.024454979599
47,0.5700000000000001,0.46690474222935774,-0.06798652449488185,0.0075005238066072856,0.005861238143980017,0.024167836166843995,0.029748793548036036,0.027303099579173422,0.024125993834
48,0.58,0.4368054005244624,-0.07648012771563595,0.00737854521273373,0.005739286320407656,0.023847948173233924,0.029015068564600403,0.026767810576742993,0.02380209058
49,0.59,0.40773835834220984,-0.08467382932846368,0.007257872172441984,0.005619089215811314,0.023532690416769017,0.028310885756282652,0.02624828207025426,0.023483230752
50,0.6,0.3796528685807816,-0.092581756539448,0.007138504685732053,0.005500638477297925,0.02322203825205379,0.027634980271308895,0.025744077606109188,0.0231693754
51,0.61,0.3525015993753151,-0.10021702262235421,0.007020442752603934,0.005383925747004357,0.022915967045592785,0.026986140300396647,0.025254771140630634,0.022860485716
52,0.62,0.3262403700105574,-0.10759179735237567,0.006903686373057626,0.005268942662097525,0.02261445217677041,0.026363205249105705,0.02477994692721903,0.02255652303
53,0.63,0.30082791379362295,-0.11471736892297835,0.006788235547093131,0.0051556808547745135,0.022317469038825977,0.02576506394713101,0.02431919940077926,0.022257448829
54,0.64,0.27622566528433756,-0.1216041979311302,0.006674090274710452,0.005044131952262674,0.02202499303982422,0.025190652895732246,0.02387213305955582,0.021963224721
55,0.65,0.2523975696788767,-0.1282619638662612,0.006561250555909585,0.004934287576819752,0.02173699960362095,0.024638954554305394,0.023438362344511233,0.021673812508
56,0.66,0.22930991250666066,-0.13469960438846074,0.006449716390690531,0.0048261393457339884,0.02145346417082416,0.02410899566692378,0.023017511516377223,0.02138917412
57,0.67,0.20693116814184265,-0.14092534752565067,0.0063394877790532884,0.004719678871324242,0.021174362199750003,0.02359984562951109,0.02260921453050545,0.021109271651
58,0.6799999999999999,0.18523186596066932,-0.14694673675059677,0.006230564720997862,0.004614897760940098,0.020899669167374277,0.023110614898153938,0.02221311490964032,0.020834067364
59,0.69,0.16418447330681962,-0.15277064870781998,0.006122947216524245,0.0045117876169619795,0.020629360570278785,0.02264045343891963,0.021828865614731945,0.020563523677
60,0.7,0.14376329477291927,-0.1584033031364258,0.006016635265632443,0.00441034003680126,0.02036341192559296,0.022188549219411033,0.021456128913904842,0.020297603184
