,m,ICphi,ICn,P2phi,P3phi,GRBT fatalities,SRA1 fatalities,SRA2 fatalities,Optimal fatalities
0,0.1,-1.0941247907680918e-13,-0.14822980836171262,0.0341456454461351,0.0635285379355099,0.0018153459170444305,0.0018403990254190125,0.0018249794916109262,0.0018102352573
1,0.11,-1.366518009859874e-12,-0.16305259870639666,0.03331473166387631,0.060750098114903055,0.0017393614503263524,0.001768647410486063,0.0017506763974491414,0.0017333647899
2,0.12000000000000001,-1.2899126211607381e-12,-0.17787535686473577,0.03249157904866392,0.05806660582656678,0.0016661449598634034,0.001699802019686006,0.0016792112377524426,0.0016592299455
3,0.13,1.6830981053317373e-12,-0.19269808344784622,0.03167618760049789,0.0554758864582025,0.0015956347127144214,0.0016337648268760188,0.0016105092074621393,0.0015877772521
4,0.14,-4.915512441527881e-13,-0.20752077907484745,0.03086855731937825,0.05297578831521025,0.001527768435304251,0.0015704395846899571,0.001544495623474483,0.0015189524237
5,0.15000000000000002,9.651723864578798e-13,-0.2223434443508252,0.030068688205305005,0.05056418264150961,0.0014624834229296064,0.0015097318997795528,0.001481096035744816,0.0014527004517
6,0.16,-6.060152379916417e-13,-0.23716607989373006,0.02927658025827813,0.048238963640543746,0.0013997166469230237,0.001451549299036207,0.0014202363334797079,0.0013889656962
7,0.17,-2.2045698599981733e-12,-0.2519886863134517,0.02849223347829764,0.045998048496111006,0.0013394048592342744,0.001395801287124558,0.001361842846300769,0.0013276919748
8,0.18,2.1249668691325496e-12,-0.26681126421741075,0.027715647865363537,0.043839377393298046,0.0012814846942168698,0.0013423993956772045,0.0013058424402910922,0.0012688226515
9,0.19,-3.5089708916302698e-12,-0.2816338142312347,0.02694682341947581,0.041760913539492184,0.0012258927674231137,0.0012912572245145752,0.001252162608861399,0.0012123007224
10,0.2,-1.4945822357503857e-12,-0.2964563369526121,0.026185760140634454,0.03976064318510113,0.0011725657712271793,0.0012422904752653209,0.001200731558398121,0.0011580689022
11,0.21000000000000002,-1.708633234898116e-13,-0.3112788330008607,0.0254324580288395,0.037836575644702546,0.001121440567129761,0.0011954169777704724,0.0011514782886794463,0.001106069706
12,0.22,-2.1895818491657337e-12,-0.32610130299055107,0.02468691708409091,0.03598674331786064,0.0010724542745990638,0.001150556709659865,0.0011043326680678634,0.0010562455305
13,0.23,3.3073543903583413e-13,-0.34092374752746446,0.023949137306388715,0.03420920171004125,0.0010255443563379537,0.0011076318094915385,0.001059225503508785,0.0010085387338
14,0.24000000000000002,4.084510507595951e-12,-0.35574616722670416,0.023219118695732902,0.03250202945364271,0.0009806486998811062,0.0010665665838446782,0.001016088605384441,0.00096289171078
15,0.25,-3.177680341082123e-12,-0.37056856271082306,0.02249686125212346,0.030863328328937872,0.000937705695442169,0.001027287508754199,0.0009748548472901972,0.00091924696776
16,0.26,-9.441336601412331e-13,-0.385390934575055,0.021782364975560416,0.029291223284846242,0.0008966543099509781,0.0009897232258705144,0.0009354582208170091,0.000877547194
17,0.27,-3.654299085553703e-12,-0.40021328344376705,0.021075629866043742,0.02778386246018097,0.00085743415724649,0.0009538045337217013,0.0008978338854386075,0.00083773533029
18,0.28,4.165556788393587e-12,-0.41503560991638144,0.02037665592357345,0.026339417204329887,0.0008199855643883544,0.000919464374447331,0.0008619182136153646,0.00079975463559
19,0.29000000000000004,1.6729950758076484e-12,-0.42985791462259204,0.019685443148149538,0.024956082098512997,0.0007842496340908785,0.0008866378163638616,0.0008276488312386849,0.00076354875004
20,0.30000000000000004,-3.992361996552063e-12,-0.4446801981687578,0.019001991539772008,0.023632074976468773,0.00075016830327205,0.0008552620327110115,0.0007949646535500527,0.00072906175566
21,0.31,-1.2638778912332782e-12,-0.45950246115754134,0.018326301098440873,0.022365636945532497,0.0007176843977477775,0.0008252762769169602,0.0007638059166778249,0.00069623823408
22,0.32,1.733613252952182e-12,-0.474324704208017,0.017658371824156114,0.021155032407726274,0.0006867416830991768,0.0007966218547079467,0.0007341142049423221,0.00066502332137
23,0.33,3.1576963266388702e-12,-0.48914692793401526,0.01699820371691773,0.019998549080627325,0.000657284911754662,0.0007692420933748226,0.0007058324740859892,0.00063536275989
24,0.33999999999999997,0.02309477989136144,-0.4847360261430751,0.016345796776725742,0.01879030335557798,0.0006282603964818797,0.000743082308495667,0.0006789050705902877,0.00060720294739
25,0.35,0.06938850239767902,-0.4614210731405781,0.015701151003580126,0.017533550737287757,0.0005997315417553392,0.0007180897683997558,0.0006532777472447395,0.00058049098311
26,0.36,0.11712889450863861,-0.4373775370804336,0.015064266397480895,0.016327524854569543,0.0005726368011536369,0.0006942136566441481,0.0006288976751361507,0.00055517471102
27,0.37,0.16638484525306074,-0.41257072353129676,0.014435142958428047,0.015171475651462912,0.0005469332897316096,0.0006714050327599941,0.0006057134522276245,0.00053120276025
28,0.38,0.21722968811323784,-0.3869636997114143,0.013813780686421577,0.014064652649718823,0.0005225781868018572,0.0006496167915115447,0.0005836751086976422,0.00050852458268
29,0.39,0.26974156532439975,-0.360517111017278,0.01320017958146149,0.013006304948799868,0.000499528774297353,0.0006288036208967936,0.000562734109209228,0.00048709048773
30,0.4,0.324003828604124,-0.3331889792051468,0.012594339643547784,0.011995681225880515,0.00047774247409803814,0.0006089219591047768,0.0005428433522782092,0.0004668516745
31,0.41000000000000003,0.3801054806338924,-0.3049344800486524,0.011996260872680466,0.011032029735847305,0.0004571768842901575,0.0005899299506309336,0.0005239571669078387,0.00044776026115
