,m,ICphi,ICn,P2phi,P3phi,GRBT fatalities,SRA1 fatalities,SRA2 fatalities,Optimal fatalities
0,0.1,1.1597389715234385e-12,-0.11310981560236655,0.03464824244380431,0.06676997797236016,0.002124892613116697,0.0021475322874990955,0.0021345585413228966,0.00212217857
1,0.11,1.5005774400833616e-12,-0.12442066261493057,0.03386474623587244,0.06418564640384845,0.002050089289143606,0.0020767518250311766,0.002061504730669051,0.0020468754828
2,0.12000000000000001,5.740408148824372e-13,-0.1357314867676951,0.03308849444490696,0.061676058248254124,0.001977390189326644,0.0020082622373105235,0.001990644707588172,0.0019736495424
3,0.13,5.580536033278349e-13,-0.14704228845937872,0.03231948707090786,0.05923985917369579,0.0019067690908281343,0.001942007618645221,0.001921940026135059,0.0019024780691
4,0.14,1.208477762304483e-13,-0.15835306809166672,0.03155772411387514,0.05687570562445892,0.0018381988021159736,0.0018779322959140295,0.0018553516316596834,0.0018333373692
5,0.15000000000000002,-1.0097478408965799e-13,-0.16966382606457375,0.030803205573808817,0.05458226483592706,0.0017716512111144742,0.0018159808979731867,0.0017908399267389232,0.0017662027743
6,0.16,-1.4502288259166107e-12,-0.18097456277978607,0.030055931450708857,0.05235821484953172,0.0017070973343444554,0.00175609842151249,0.0017283648364749713,0.001701048683
7,0.17,-1.0030309915975977e-12,-0.1922852786353737,0.029315901744575282,0.050202244527684084,0.0016445073669085072,0.0016982302933222055,0.00166788587299607,0.0016378486027
8,0.18,1.9987900223839006e-12,-0.2035959740312362,0.0285831164554081,0.04811305356873385,0.0015838507331772383,0.001642322428948878,0.0016093621990027312,0.001576575193
9,0.19,5.018208071305708e-13,-0.2149066493738816,0.0278575755832073,0.04608935252193149,0.0015250961380306148,0.0015883212877340195,0.0015527526902108066,0.0015172003102
10,0.2,-2.9151125957582735e-12,-0.22621730506166005,0.027139279127972867,0.04412986280233877,0.0014682116185083225,0.0015361739242446607,0.0014980159965515404,0.001459695052
11,0.21000000000000002,8.775202786637237e-13,-0.23752794148737233,0.026428227089704832,0.04223331670578456,0.0014131645957265043,0.001485828036118996,0.0014451106019979507,0.0014040298031
12,0.22,-1.851407915864911e-12,-0.2488385590631672,0.025724419468403165,0.04039845742389153,0.0013599219269189236,0.0014372320083635914,0.0013939948828966028,0.0013501742818
13,0.23,2.148503597254603e-12,-0.2601491581783497,0.025027856264067887,0.03862403905890839,0.001308449957458696,0.001390334954150976,0.0013446271646937135,0.001298097586
